Tittle,Nomination,Awards,Best_pictures
Argo,7,3,
Life of Pi,11,4,
Les Misérables,8,3,
Lincoln,12,2,
Django Unchained,5,2,
Skyfall,5,2,
Silver Linings Playbook,8,1,
Zero Dark Thirty,5,1,
Amour,5,1,
Anna Karenina,4,1,
Paperman,1,1,
Brave,1,1,
Searching for Sugar Man,1,1,
Inocente,1,1,
Curfew,1,1,
