Title,Nominations,Best Picture,Awards
The Artist,10,,5
Hugo,11,,5
The Iron Lady,2,,2
The Descendants,5,,1
The Girl with the Dragon Tattoo,5,,1
Midnight in Paris,4,,1
The Help,4,,1
A Separation,2,,1
The Fantastic Flying Books of Mr. Morris Lessmore,1,,1
The Shore,1,,1
Undefeated,1,,1
The Muppets,1,,1
Saving Face,1,,1
Beginners,1,,1
Rango,1,,1
