Title,Nominations,Best Picture,Awards
Birdman,9,,4
The Grand Budapest Hotel,9,,4
Whiplash,5,,3
The Imitation Game,8,,1
American Sniper,6,,1
Boyhood,6,,1
Interstellar,5,,1
The Theory of Everything,5,,1
Ida,2,,1
Selma,2,,1
Citizenfour,1,,1
Big Hero 6,1,,1
Crisis Hotline: Veterans Press 1,1,,1
The Phone Call,1,,1
Still Alice,1,,1
Feast,1,,1
