name,url,img_url,detail
Chelydridae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Chelydridae,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Alligator_snapping_turtle.jpg/200px-Alligator_snapping_turtle.jpg,"The Chelydridae family of turtles — more commonly known as ""Snapping turtles"" — were first discovered in 1831 by Gray."
Emydidae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Emydidae,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Tortoise1_cepolina.jpg/200px-Tortoise1_cepolina.jpg,"The Emydidae family of turtles — more commonly known as ""Pond or water turtles"" — were first discovered in 1815 by Rafinesque."
Platysternidae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Platysternidae,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Zolw_wielkoglowy.jpg/200px-Zolw_wielkoglowy.jpg,"The Platysternidae family of turtles — more commonly known as ""Big-headed turtle"" — were first discovered in 1869 by Gray."
Chelidae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Chelidae,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Eastern_long_neck_tortoise_-_chelodina_longicollis.jpg/200px-Eastern_long_neck_tortoise_-_chelodina_longicollis.jpg,"The Chelidae family of turtles — more commonly known as ""Austro-American sideneck turtles"" — were first discovered in 1831 by Gray."
