name,year,wins,losses,ot-losses,pct text-success,gf,ga,diff text-success
Los Angeles Kings,1992,39,35,,0.464,338,340,-2
Minnesota North Stars,1992,36,38,,0.429,272,293,-2
Montreal Canadiens,1992,48,30,,0.571,326,280,-2
New Jersey Devils,1992,40,37,,0.476,308,299,-2
New York Islanders,1992,40,37,,0.476,335,297,-2
New York Rangers,1992,34,39,,0.405,304,308,-2
Ottawa Senators,1992,10,70,,0.119,202,395,-2
Philadelphia Flyers,1992,36,37,,0.429,319,319,-2
Pittsburgh Penguins,1992,56,21,,0.667,367,268,-2
Quebec Nordiques,1992,47,27,,0.56,351,300,-2
San Jose Sharks,1992,11,71,,0.131,218,414,-2
St. Louis Blues,1992,37,36,,0.44,282,278,-2
Tampa Bay Lightning,1992,23,54,,0.274,245,332,-2
Toronto Maple Leafs,1992,44,29,,0.524,288,241,-2
Vancouver Canucks,1992,46,29,,0.548,346,278,-2
Washington Capitals,1992,43,34,,0.512,325,286,-2
Winnipeg Jets,1992,40,37,,0.476,322,320,-2
Mighty Ducks of Anaheim,1993,33,46,,0.393,229,251,-2
Boston Bruins,1993,42,29,,0.5,289,252,-2
Buffalo Sabres,1993,43,32,,0.512,282,218,-2
Calgary Flames,1993,42,29,,0.5,302,256,-2
Chicago Blackhawks,1993,39,36,,0.464,254,240,-2
Dallas Stars,1993,42,29,,0.5,286,265,-2
Detroit Red Wings,1993,46,30,,0.548,356,275,-2
Edmonton Oilers,1993,25,45,,0.298,261,305,-2
