,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company facebook,Company Twitter
0,Truelytics,https://www.linkedin.com/company/12955468/?ref=getlatka.com,https://www.crunchbase.com/organization/truelytics?ref=getlatka.com,//truelytics.com/?ref=getlatka.com, (US),Jeremi Karnell,,
1,Wasabi,https://www.linkedin.com/company/wasabitechnologiesinc/?ref=getlatka.com,https://www.crunchbase.com/organization/wasabi-technologies-inc/company_financials?ref=getlatka.com,//wasabi.com/?ref=getlatka.com, (US),David Friend,https://www.facebook.com/WasabiCloud/?ref=getlatka.com,https://twitter.com/wasabi_cloud?ref=getlatka.com
2,Brightfunnel,https://www.linkedin.com/company/brightfunnel?ref=getlatka.com,https://www.crunchbase.com/organization/brightfunnel?ref=getlatka.com,//brightfunnel.com/?ref=getlatka.com, (US),Chris Mann,https://www.facebook.com/Brightfunnel?ref=getlatka.com,https://twitter.com/NadimHossain?ref=getlatka.com
3,Marianaiq,https://www.linkedin.com/company/10119910?ref=getlatka.com,https://www.crunchbase.com/organization/marianaiq?ref=getlatka.com,//marianaiq.com/?ref=getlatka.com, (US),Venkat Nagaswamy,,
4,Textingbase,https://www.linkedin.com/company/texting-base-inc-?trkInfo=tarId%3A1410917710230%2Ctas%3ATexting%2Cidx%3A1-7-7&ref=getlatka.com,https://www.crunchbase.com/organization/textingbase?ref=getlatka.com,//textingbase.com/?ref=getlatka.com, (US),,,
5,Mobilewalla,https://www.linkedin.com/company/mobilewalla?ref=getlatka.com,https://www.crunchbase.com/organization/mobilewalla?ref=getlatka.com,//mobilewalla.com/?ref=getlatka.com, (US),Anindya Datta,,
6,Singular,https://www.linkedin.com/company/singular-labs?ref=getlatka.com,https://www.crunchbase.com/organization/singular-net?ref=getlatka.com,//singular.net/?ref=getlatka.com, (IL),Yoni Amias,,
7,Packetzoom,https://www.linkedin.com/company/packetzoom?ref=getlatka.com,https://www.crunchbase.com/organization/packetzoom?ref=getlatka.com,//packetzoom.com/?ref=getlatka.com, (US),Shlomi Gian,,
8,Logz,https://www.linkedin.com/company/logz-io?ref=getlatka.com,https://www.crunchbase.com/organization/logz-io?ref=getlatka.com,//logz.io/?ref=getlatka.com, (US),Tomer Levy,https://www.facebook.com/logz.io/?ref=getlatka.com,http://twitter.com/logzio?ref=getlatka.com
9,Komiko,https://www.linkedin.com/company/komiko-co-?ref=getlatka.com,https://www.crunchbase.com/organization/komiko?ref=getlatka.com,//komiko.com/?ref=getlatka.com, (US),Hal Howard,,
10,Windsor.ai,https://www.linkedin.com/company/windsor.ai?ref=getlatka.com,https://www.crunchbase.com/organization/windsor-ai?ref=getlatka.com,//windsor.ai/?ref=getlatka.com,Switzerland,Niklas Kolster,,
11,Slidebean,https://www.linkedin.com/company/slidebean/?ref=getlatka.com,https://www.crunchbase.com/organization/slidebean?ref=getlatka.com,//slidebean.com/?ref=getlatka.com, (US),Jose Cayasso,https://www.facebook.com/slidebean/?ref=getlatka.com,https://twitter.com/slidebean?ref=getlatka.com
12,Zoominfo,https://www.linkedin.com/company/zoominfo?ref=getlatka.com,https://www.crunchbase.com/organization/zoominfo?ref=getlatka.com,//zoominfo.com/?ref=getlatka.com,United States,Henry Schuck,https://www.facebook.com/ZoomInformation/?ref=getlatka.com,https://twitter.com/ZoomInfo?ref=getlatka.com
13,Duetto,https://www.linkedin.com/company/duetto-research?ref=getlatka.com,https://www.crunchbase.com/organization/duetto-research?ref=getlatka.com,//duettocloud.com/?ref=getlatka.com, (US),Bruna Cezar,,
14,Hirewire,https://www.linkedin.com/company/hirewire-inc-?ref=getlatka.com,https://www.crunchbase.com/organization/hirewire?ref=getlatka.com,//hirewire.com/?ref=getlatka.com, (US),Chau Nguyen,,
15,Clevertap,https://linkedin.com/company/clevertap?ref=getlatka.com,https://www.crunchbase.com/organization/wizrocket-technologies/company_financials?ref=getlatka.com,//clevertap.com/?ref=getlatka.com, (US),Sidharth Malik,https://www.facebook.com/clevertap/?ref=getlatka.com,https://twitter.com/CleverTap?ref=getlatka.com
16,Front App,https://www.linkedin.com/company/fronthq/about/?ref=getlatka.com,https://www.crunchbase.com/organization/front-app?ref=getlatka.com,//front.com/?ref=getlatka.com, (US),Mathilde Collin,https://www.facebook.com/frontapp/?ref=getlatka.com,https://x.com/FrontHQ?ref=getlatka.com
17,Parkbench,https://www.linkedin.com/company/parkbench?ref=getlatka.com,https://www.crunchbase.com/organization/parkbench-com?ref=getlatka.com,//parkbench.com/?ref=getlatka.com, (CA),Grant Findlay-Shirras,,
18,Riskalyze,https://ca.linkedin.com/company/riskalyze?ref=getlatka.com,https://www.crunchbase.com/organization/riskalyze?ref=getlatka.com,//riskalyze.com/?ref=getlatka.com, (US),Drew DiMarino,https://www.facebook.com/NitrogenWealth/?ref=getlatka.com,https://twitter.com/NitrogenWealth?ref=getlatka.com
19,Shoppable,https://ca.linkedin.com/company/shoppable72lux?ref=getlatka.com,https://www.crunchbase.com/organization/72lux?ref=getlatka.com,//shoppable.com/?ref=getlatka.com, (US),Heather Udo,,
