,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company Twitter,Company facebook
0,Billd,https://www.linkedin.com/company/billdco/?ref=getlatka.com,https://www.crunchbase.com/organization/billd?ref=getlatka.com,//billd.com/?ref=getlatka.com, (US),Christopher Doyle,,
1,Amilia,https://www.linkedin.com/company/amilia-technologies/?ref=getlatka.com,https://www.crunchbase.com/organization/amilia?ref=getlatka.com,//amilia.com/?ref=getlatka.com,Canada,Alex Rouillard,,
2,Lately,https://www.linkedin.com/company/latelyai?ref=getlatka.com,,//lately.ai/?ref=getlatka.com, (US),Kate Bradley Chernis,,
3,Ness Labs,https://www.linkedin.com/company/nesslabs/?ref=getlatka.com,,//nesslabs.com/?ref=getlatka.com, (GB),Anne-Laure LeLe Cunff,https://twitter.com/ness_labs?ref=getlatka.com,
4,Unicorn Platform,https://www.linkedin.com/company/unicornplatform/about/?ref=getlatka.com,,//unicornplatform.com/?ref=getlatka.com,Georgia,Alexander Isora,https://twitter.com/unicornplatform?ref=getlatka.com,
5,EssayJack Inc.,https://www.linkedin.com/company/essayjack?ref=getlatka.com,,//essayjack.com/?ref=getlatka.com, (CA),Lindy Ledohowski,,
6,OnCall Health,https://www.linkedin.com/company/10531244?ref=getlatka.com,https://www.crunchbase.com/organization/oncall-health?ref=getlatka.com,//oncallhealth.com/?ref=getlatka.com,Canada,Nicholas Chepesiuk,,
7,WhatConverts,https://www.linkedin.com/company/whatconverts?ref=getlatka.com,https://www.crunchbase.com/organization/whatconverts?ref=getlatka.com,//whatconverts.com/?ref=getlatka.com, (US),Michael Cooney,,
8,KPI Sense,https://www.linkedin.com/company/kpisense/?ref=getlatka.com,https://www.crunchbase.com/organization/kpi-sense?ref=getlatka.com,//kpisense.com/?ref=getlatka.com, (US),Wil Cordes,,
9,Willful,https://www.linkedin.com/company/willful?ref=getlatka.com,,//willful.co/?ref=getlatka.com, (CA),Erin Bury,,
10,Finimize,,https://www.crunchbase.com/organization/finimize?ref=getlatka.com,//finimize.com/?ref=getlatka.com,United Kingdom,Maximilian Rofagha,https://twitter.com/finimize?ref=getlatka.com,https://www.facebook.com/finimize/?ref=getlatka.com
11,Party.Space,http://linkedin.com/company/party-space?ref=getlatka.com,,//party.space/?ref=getlatka.com,United States,Yurii Filipchuk,,
12,Easygenerator,https://www.linkedin.com/company/easygenerator/?ref=getlatka.com,https://www.crunchbase.com/organization/easygenerator?ref=getlatka.com,//easygenerator.com/?ref=getlatka.com,Netherlands,Kasper Spiro,https://twitter.com/easygenerator/?ref=getlatka.com,https://www.facebook.com/easygenerator/?ref=getlatka.com
13,Boss Insights,https://www.linkedin.com/company/bossinsights/?ref=getlatka.com,,//bossinsights.com/?ref=getlatka.com, (CA),Keren Moynihan,,
14,WriterAccess,https://www.linkedin.com/company/writeraccess?ref=getlatka.com,https://www.crunchbase.com/organization/writeraccess?ref=getlatka.com,//writeraccess.com/?ref=getlatka.com, (US),Byron White,,
15,Kit (Formerly Convertkit),https://www.linkedin.com/company/convertkit/?ref=getlatka.com,https://www.crunchbase.com/organization/convertkit?ref=getlatka.com,//convertkit.com/?ref=getlatka.com, (US),Sabrina Cordova-Harris,https://twitter.com/ConvertKit?ref=getlatka.com,https://www.facebook.com/ConvertKit/?ref=getlatka.com
16,Sprig,https://www.linkedin.com/company/userleap?ref=getlatka.com,https://www.crunchbase.com/organization/userleap?ref=getlatka.com,//userleap.com/?ref=getlatka.com, (US),Jacob (Jake) Alvarez,,
17,Flaskdata.io,https://www.linkedin.com/company/flaskdata/?ref=getlatka.com,,//flaskdata.io/?ref=getlatka.com,Israel,Danny Lieberman,,
18,Rosterfy,https://www.linkedin.com/company/rosterfy/?ref=getlatka.com,https://www.crunchbase.com/organization/rosterfy?ref=getlatka.com,//rosterfy.com/?ref=getlatka.com, (AU),Shannan Gove,,
19,Beamer,https://www.linkedin.com/company/getbeamer/?ref=getlatka.com,https://www.crunchbase.com/organization/beamer?ref=getlatka.com,//getbeamer.com/?ref=getlatka.com, (US),Spencer Coon,,
