,name,Company linkedIn,Company Twitter,Company Crunchbase,website url,company location,company founder,Company facebook
0,Eclincher,https://www.linkedin.com/company/eclincher?ref=getlatka.com,https://twitter.com/eClincher?ref=getlatka.com,https://www.crunchbase.com/organization/eclincher?ref=getlatka.com,//eclincher.com/?ref=getlatka.com, (US),Gilad Salamander,
1,Adthena,https://www.linkedin.com/company/adthena?ref=getlatka.com,,https://www.crunchbase.com/organization/adthena?ref=getlatka.com,//adthena.com/?ref=getlatka.com, (GB),Vuong Nguyen,
2,Doodle,https://www.linkedin.com/company/doodle-ag?ref=getlatka.com,https://twitter.com/doodlebrasil?ref=getlatka.com,https://www.crunchbase.com/organization/doodle?ref=getlatka.com,//doodle.com/?ref=getlatka.com,Switzerland,Amit Shah,https://www.facebook.com/DoodleAG?ref=getlatka.com
3,Riddle,https://in.linkedin.com/company/riddle-quiz-maker?ref=getlatka.com,,https://www.crunchbase.com/organization/riddle?ref=getlatka.com,//riddle.com/?ref=getlatka.com,Germany,Mike Hawkins,
4,Ringostat,https://www.linkedin.com/company/ringostat/?ref=getlatka.com,,https://www.crunchbase.com/organization/ringostat?ref=getlatka.com,//ringostat.com/?ref=getlatka.com,Ukraine,Oleksandr Maksymeniuk,
5,Lbaware,https://www.linkedin.com/company/lbaware?ref=getlatka.com,,,//lbaware.com/?ref=getlatka.com, (US),Lori Brewer,
6,Engagio,https://www.linkedin.com/company/engagio?ref=getlatka.com,http://twitter.com/engagio?ref=getlatka.com,https://www.crunchbase.com/organization/engagio-2?ref=getlatka.com,//engagio.com/?ref=getlatka.com, (US),Jonathan Miller,https://www.facebook.com/engagio?ref=getlatka.com
7,Doorboost,https://www.linkedin.com/company/doorboost?ref=getlatka.com,,https://www.crunchbase.com/organization/doorboost?ref=getlatka.com,//doorboost.com/?ref=getlatka.com,Germany,Johannes Herzer,
8,Coveo,https://www.linkedin.com/company/coveo?ref=getlatka.com,https://twitter.com/coveo?ref=getlatka.com,https://www.crunchbase.com/organization/coveo?ref=getlatka.com,//coveo.com/?ref=getlatka.com, (CA),Louis Tetu,
9,Paystand,https://www.linkedin.com/company/paystand?ref=getlatka.com,,https://www.crunchbase.com/organization/paystand?ref=getlatka.com,//paystand.com/?ref=getlatka.com, (US),Jeremy Almond,
10,Redislabs,https://www.linkedin.com/company/redis-labs-inc?ref=getlatka.com,https://twitter.com/Redisinc?ref=getlatka.com,https://www.crunchbase.com/organization/redis-labs?ref=getlatka.com,//redis.com/?ref=getlatka.com, (US),Ofer Bengal,https://www.facebook.com/Redisinc/?ref=getlatka.com
11,Adjusti,https://www.linkedin.com/company/adjust?ref=getlatka.com,,https://www.crunchbase.com/organization/adjusti?ref=getlatka.com,//adjusti.co/?ref=getlatka.com,Belgium,Alon Maltzov,
12,ParallelDots,https://www.linkedin.com/company/3572541/?ref=getlatka.com,,,//paralleldots.com/?ref=getlatka.com, (US),Maks Mukundan,
13,Theomx,https://www.linkedin.com/company/omx?ref=getlatka.com,,https://www.crunchbase.com/organization/theomx?ref=getlatka.com,//theomx.com/?ref=getlatka.com, (CA),Nicole Verkindt,
14,Versium,https://www.linkedin.com/company/versium-inc-?ref=getlatka.com,,https://www.crunchbase.com/organization/versium?ref=getlatka.com,//versium.com/?ref=getlatka.com, (US),Haresh Ved,
15,Switchautomation,https://www.linkedin.com/company/switch-automation?ref=getlatka.com,,https://www.crunchbase.com/organization/switchautomation?ref=getlatka.com,//switchautomation.com/?ref=getlatka.com, (US),Deb Noller,
16,Celect,https://www.linkedin.com/company/celect-inc-?ref=getlatka.com,,https://www.crunchbase.com/organization/celect?ref=getlatka.com,//celect.com/?ref=getlatka.com, (US),John Andrews,
17,CrowdStreet,https://www.linkedin.com/company/crowdstreet-inc-?ref=getlatka.com,,https://www.crunchbase.com/organization/crowdstreet?ref=getlatka.com,//crowdstreet.com/?ref=getlatka.com, (US),Julie Wainscott,
18,Cloudflare,https://www.linkedin.com/company/cloudflare-inc-?ref=getlatka.com,,https://www.crunchbase.com/organization/cloudflare?ref=getlatka.com,//cloudflare.com/?ref=getlatka.com, (US),Matthew Prince,
19,Cariclub,https://www.linkedin.com/company/cariclub?ref=getlatka.com,,https://www.crunchbase.com/organization/cariclub?ref=getlatka.com,//cariclub.com/?ref=getlatka.com, (US),Rhoden Monrose,
