,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company Twitter
0,Crowdcast,https://sg.linkedin.com/company/crowdcast-io?ref=getlatka.com,https://www.crunchbase.com/organization/crowdcast?ref=getlatka.com,//crowdcast.io/?ref=getlatka.com, (US),Sai Hossain,
1,Render,https://www.linkedin.com/company/render-street?ref=getlatka.com,https://www.crunchbase.com/organization/render?ref=getlatka.com,//render.st/?ref=getlatka.com,Romania,Anurag  Goel,https://twitter.com/RenderStreet?ref=getlatka.com
2,Perfectcloud,https://www.linkedin.com/company/coinalpha-com?ref=getlatka.com,,//perfectcloud.io/?ref=getlatka.com, (GB),Mayukh Gon,
3,Legasisservices,https://www.linkedin.com/company/legasispvtltd/?ref=getlatka.com,https://www.crunchbase.com/organization/legasis-services?ref=getlatka.com,//legasisservices.com/?ref=getlatka.com, (IN),Suhas Tuljapurkar,
4,Cladwell,https://za.linkedin.com/company/cladwell?ref=getlatka.com,https://www.crunchbase.com/organization/cladwell?ref=getlatka.com,//cladwell.com/?ref=getlatka.com, (US),Erin  Flynn,
5,Expandly,https://www.linkedin.com/company/expandly/?ref=getlatka.com,,//expandly.com/?ref=getlatka.com, (GB),Alan Wilson,
6,Hosthub,https://www.linkedin.com/company/syncbnb?ref=getlatka.com,https://www.crunchbase.com/organization/syncbnb?ref=getlatka.com,//syncbnb.com/?ref=getlatka.com,Greece,Alexander Caravitis,
7,Thapos,https://www.linkedin.com/company/thapos-inc?ref=getlatka.com,https://www.crunchbase.com/organization/thapos?ref=getlatka.com,//thapos.com/?ref=getlatka.com, (US),Srini Siddireddy,
8,Neoreach,https://www.linkedin.com/company/neoreach-inc-?ref=getlatka.com,https://www.crunchbase.com/organization/neoreach?ref=getlatka.com,//neoreach.com/?ref=getlatka.com, (US),Jesse Leimgruber,
9,Famoco,https://www.linkedin.com/company/famoco?ref=getlatka.com,https://www.crunchbase.com/organization/famoco?ref=getlatka.com,//famoco.com/?ref=getlatka.com,France,Lionel Baraban,
10,GroupFio,https://www.linkedin.com/company/group-fio?ref=getlatka.com,https://www.crunchbase.com/organization/group-fio?ref=getlatka.com,//groupfio.com/?ref=getlatka.com, (US),Ravi Srinivasan,
11,Cuseum,https://www.linkedin.com/company/cuseum?ref=getlatka.com,https://www.crunchbase.com/organization/cuseum?ref=getlatka.com,//cuseum.com/?ref=getlatka.com, (US),Brendan Ciecko,
12,Intermix,https://www.linkedin.com/company/intermix.io?ref=getlatka.com,https://www.crunchbase.com/organization/intermix?ref=getlatka.com,//intermix.io/?ref=getlatka.com, (US),Paul Lappas,
13,Oleeo,https://www.linkedin.com/company/oleeo/?ref=getlatka.com,https://www.crunchbase.com/organization/oleeo?ref=getlatka.com,//oleeo.com/?ref=getlatka.com, (US),Charles Hipps,
14,Executestrategy,https://www.linkedin.com/company/cascade-strategy?ref=getlatka.com,https://www.crunchbase.com/organization/executestrategy?ref=getlatka.com,//executestrategy.net/?ref=getlatka.com, (AU),Tom Wright,https://twitter.com/cascadestrategy?ref=getlatka.com
15,Getsocial,https://www.linkedin.com/company/getsocial---modern-marknadsf%C3%B6ring?ref=getlatka.com,https://www.crunchbase.com/organization/getsocial?ref=getlatka.com,//getsocial.io/?ref=getlatka.com,Sweden,Joao Romeo,
16,Upfluence,https://www.linkedin.com/company/upfluence?ref=getlatka.com,https://www.crunchbase.com/organization/upfluence?ref=getlatka.com,//upfluence.com/?ref=getlatka.com, (US),Ayaz Baron,https://twitter.com/Upfluence?ref=getlatka.com
17,Openback,https://www.linkedin.com/company/openback?ref=getlatka.com,https://www.crunchbase.com/organization/openback?ref=getlatka.com,//openback.com/?ref=getlatka.com,Ireland,David Shackleton,
18,Limecraft,https://ca.linkedin.com/company/limecraft?ref=getlatka.com,https://www.crunchbase.com/organization/limecraft?ref=getlatka.com,//limecraft.com/?ref=getlatka.com,Belgium,Maarten Verwaest,
19,Exeboard,https://www.linkedin.com/company/exeboard?ref=getlatka.com,https://www.crunchbase.com/organization/exeboard?ref=getlatka.com,//exeboard.com/?ref=getlatka.com,United States,Andres Rodriguez,
