,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company facebook,Company Twitter
0,Zembula,https://www.linkedin.com/company/zembula?ref=getlatka.com,https://www.crunchbase.com/organization/zembula?ref=getlatka.com,//zembula.com/?ref=getlatka.com, (US),Robert Haydock,,
1,Get Well,https://www.linkedin.com/company/getwellnetwork?ref=getlatka.com,,//getwellnetwork.com/?ref=getlatka.com, (US),Todd Johnson,,
2,Typeform,https://www.linkedin.com/company/typeform-com?ref=getlatka.com,https://www.crunchbase.com/organization/typeform?ref=getlatka.com,//typeform.com/?ref=getlatka.com,Spain,Joaquim Lecha,https://www.facebook.com/typeform/?ref=getlatka.com,https://twitter.com/typeform/?ref=getlatka.com
3,Gremlinsocial,https://www.linkedin.com/company/gremlinsocial?ref=getlatka.com,https://www.crunchbase.com/organization/gremlinsocial?ref=getlatka.com,//gremlinsocial.com/?ref=getlatka.com, (US),Douglas Wilber,,https://twitter.com/Gremln?ref=getlatka.com
4,Moj,https://www.linkedin.com/company/mojio?ref=getlatka.com,https://www.crunchbase.com/organization/mojio?ref=getlatka.com,//moj.io/?ref=getlatka.com, (CA),Kenny Hawk,https://www.facebook.com/getmoj.io/?ref=getlatka.com,https://twitter.com/getmojio?ref=getlatka.com
5,Zenefits,https://www.linkedin.com/company/zenefits?ref=getlatka.com,https://www.crunchbase.com/organization/zenefits?ref=getlatka.com,//zenefits.com/?ref=getlatka.com, (US),Jay Fulcher,https://www.facebook.com/Zenefits?ref=getlatka.com,https://twitter.com/Zenefits?ref=getlatka.com
6,Sirqul,https://www.linkedin.com/company/sirqul-inc-?ref=getlatka.com,https://www.crunchbase.com/organization/sirqul?ref=getlatka.com,//corp.sirqul/?ref=getlatka.com, (US),Robert Frederick,,
7,Sumall,https://in.linkedin.com/company/sumall?ref=getlatka.com,https://www.crunchbase.com/organization/sumall?ref=getlatka.com,//sumall.com/?ref=getlatka.com, (US),Dane Atkinson,https://www.facebook.com/sumalls?ref=getlatka.com,https://twitter.com/SumAll?ref=getlatka.com
8,Getvenga,https://ca.linkedin.com/company/venga?ref=getlatka.com,https://www.crunchbase.com/organization/getvenga?ref=getlatka.com,//getvenga.com/?ref=getlatka.com, (US),Sam Pollaro,,
9,Hiconversion,https://www.linkedin.com/company/hiconversion?ref=getlatka.com,https://www.crunchbase.com/organization/hiconversion?ref=getlatka.com,//hiconversion.com/?ref=getlatka.com, (US),Zee Aganovic,,
10,Segmint,https://www.linkedin.com/company/segmint?ref=getlatka.com,https://www.crunchbase.com/organization/segmint?ref=getlatka.com,//segmint.com/?ref=getlatka.com, (US),Rob Heiser,,
11,Namely,https://www.linkedin.com/company/namely?ref=getlatka.com,https://www.crunchbase.com/organization/namely?ref=getlatka.com,//namely.com/?ref=getlatka.com, (US),Matt Straz,https://www.facebook.com/namelyinc?ref=getlatka.com,https://twitter.com/NamelyHR?ref=getlatka.com
12,Cloudability,https://www.linkedin.com/company/cloudability?ref=getlatka.com,https://www.crunchbase.com/organization/cloudability?ref=getlatka.com,//cloudability.com/?ref=getlatka.com, (US),Mat Ellis,https://www.facebook.com/Cloudability?ref=getlatka.com,https://twitter.com/cloudability?ref=getlatka.com
13,Shotfarm,https://www.linkedin.com/company/shotfarm-llc?ref=getlatka.com,https://www.crunchbase.com/organization/shotfarm?ref=getlatka.com,//shotfarm.com/?ref=getlatka.com, (US),Mike Lapchick,,
14,KeyedIn,https://www.linkedin.com/company/keyedin-solutions-inc-?ref=getlatka.com,https://www.crunchbase.com/organization/keyedin-solutions?ref=getlatka.com,//keyedin.com/?ref=getlatka.com, (US),Lauri Klaus,https://www.facebook.com/KeyedInSolutions?ref=getlatka.com,https://twitter.com/KeyedInSolution?ref=getlatka.com
15,Intronetworks,https://www.linkedin.com/company/intronetworks?ref=getlatka.com,https://www.crunchbase.com/organization/intronetworks?ref=getlatka.com,//intronetworks.com/?ref=getlatka.com, (US),Mark Sylvester,,
16,Sailthru,https://www.linkedin.com/company/sailthru?ref=getlatka.com,https://www.crunchbase.com/organization/sailthru?ref=getlatka.com,//sailthru.com/?ref=getlatka.com, (US),Neil Lustig,https://www.facebook.com/sailthru?ref=getlatka.com,https://twitter.com/sailthru?ref=getlatka.com
17,Skillshare,https://www.linkedin.com/company/skillshare-com?ref=getlatka.com,https://www.crunchbase.com/organization/skillshare?ref=getlatka.com,//skillshare.com/?ref=getlatka.com, (US),Matt Cooper,https://www.facebook.com/skillshare?ref=getlatka.com,https://twitter.com/skillshare?ref=getlatka.com
18,Cvent,https://www.linkedin.com/company/cvent?ref=getlatka.com,https://www.crunchbase.com/organization/cvent?ref=getlatka.com,//cvent.com/?ref=getlatka.com, (US),Rajeev Aggarwal,https://www.facebook.com/Cvent?ref=getlatka.com,https://twitter.com/cvent?ref=getlatka.com
19,Contently,https://www.linkedin.com/company/contently?ref=getlatka.com,https://www.crunchbase.com/organization/contently?ref=getlatka.com,//contently.com/?ref=getlatka.com, (US),Pearl Collings,https://www.facebook.com/contently?ref=getlatka.com,https://twitter.com/contently?ref=getlatka.com
