,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company facebook,Company Twitter
0,Socicake,https://www.linkedin.com/company/pws---print-&-workflow-solutions?ref=getlatka.com,https://www.crunchbase.com/organization/socicake?ref=getlatka.com,//socicake.com/?ref=getlatka.com, (AU),Ifiok Nkem,,
1,Zenspace,https://www.linkedin.com/company/zenspace-pods?ref=getlatka.com,https://www.crunchbase.com/organization/zenspace?ref=getlatka.com,//zenspace.io/?ref=getlatka.com, (US),Mayank Agrawal,,
2,Zest,https://www.linkedin.com/company/zest-is?ref=getlatka.com,https://www.crunchbase.com/organization/zest?ref=getlatka.com,//zest.is/?ref=getlatka.com,Israel,Yam Regev,,
3,Cogsworth,,https://www.crunchbase.com/organization/cogsworth?ref=getlatka.com,//cogsworth.com/?ref=getlatka.com, (AU),Boris Gefter,,
4,Flowvella,https://www.linkedin.com/company/flowboard?ref=getlatka.com,https://www.crunchbase.com/organization/flowvella?ref=getlatka.com,//flowvella.com/?ref=getlatka.com, (US),Brent Brookler,,
5,Rublix,,https://www.crunchbase.com/organization/rublix-development-inc?ref=getlatka.com,//rublix.com/?ref=getlatka.com,Singapore,Martin  Thomsen,,
6,Rutapp,https://www.linkedin.com/showcase/rutapp?ref=getlatka.com,https://www.crunchbase.com/organization/rutapp?ref=getlatka.com,//rutapp.mx/?ref=getlatka.com,Mexico,Carlos Cabada,,
7,airfocus by Lucid,https://www.linkedin.com/company/10393984/?ref=getlatka.com,,//airfocus.com/?ref=getlatka.com,Germany,Malte Scholz,,
8,Tagove,https://www.linkedin.com/company/tagove?ref=getlatka.com,https://www.crunchbase.com/organization/tagove?ref=getlatka.com,//tagove.com/?ref=getlatka.com, (US),Laduram Vishnoi,,
9,GoComet,https://www.linkedin.com/company/go-comet?ref=getlatka.com,https://www.crunchbase.com/organization/comet-freight-forwarding?ref=getlatka.com,//gocomet.com/?ref=getlatka.com, (US),Gautam Prem Jain,,
10,Skubana,https://www.linkedin.com/company/skubana?ref=getlatka.com,https://www.crunchbase.com/organization/skubana?ref=getlatka.com,//skubana.com/?ref=getlatka.com, (US),,https://www.facebook.com/skubana?ref=getlatka.com,http://twitter.com/Skubana_ERP?ref=getlatka.com
11,Apres,https://www.linkedin.com/company/apresdotio?ref=getlatka.com,https://www.crunchbase.com/organization/apres?ref=getlatka.com,//apres.io/?ref=getlatka.com, (US),Matt Waite,,
12,Supermetrics,https://www.linkedin.com/company/supermetrics?ref=getlatka.com,https://www.crunchbase.com/organization/supermetrics?ref=getlatka.com,//supermetrics.com/?ref=getlatka.com,Finland,Mikael Thuneberg,https://www.facebook.com/Supermetrics/?ref=getlatka.com,https://twitter.com/Supermetrics?ref=getlatka.com
13,Adapt,https://www.linkedin.com/company/adapt-io?ref=getlatka.com,https://www.crunchbase.com/organization/adapt?ref=getlatka.com,//adapt.io/?ref=getlatka.com, (IN),Pradeep  Muruganandam,,
14,Hashtagloyalty,https://www.linkedin.com/company/hashtag-loyalty?ref=getlatka.com,https://www.crunchbase.com/organization/hashtagloyalty?ref=getlatka.com,//hashtagloyalty.com/?ref=getlatka.com, (IN),Krishi Fagwani,,
15,Scalex,https://www.linkedin.com/company/scalex-ai?ref=getlatka.com,https://www.crunchbase.com/organization/scalex?ref=getlatka.com,//scalex.ai/?ref=getlatka.com, (US),Chad Burmeister,,
16,Revtrax,https://ca.linkedin.com/company/revtrax?ref=getlatka.com,https://www.crunchbase.com/organization/revtrax?ref=getlatka.com,//revtrax.com/?ref=getlatka.com, (US),Jonathan Treiber,,
17,Hitreset,https://www.linkedin.com/company/resetatx?ref=getlatka.com,https://www.crunchbase.com/organization/hitreset?ref=getlatka.com,//hitreset.io/?ref=getlatka.com, (US),Siri Chakka,,
18,Getoutlaw,https://www.linkedin.com/company/getoutlaw?ref=getlatka.com,https://www.crunchbase.com/organization/getoutlaw?ref=getlatka.com,//getoutlaw.com/?ref=getlatka.com, (US),Evan Schneyer,,
19,Encaptiv,https://www.linkedin.com/company/encaptiv?ref=getlatka.com,https://www.crunchbase.com/organization/encaptiv?ref=getlatka.com,//encaptiv.com/?ref=getlatka.com, (US),Shannon Daniels,,
