,name,Company linkedIn,Company Twitter,Company Crunchbase,website url,company location,company founder,Company facebook
0,Sellercloud,https://www.linkedin.com/company/sellercloud?ref=getlatka.com,https://twitter.com/sellercloud?ref=getlatka.com,https://www.crunchbase.com/organization/seller-cloud?ref=getlatka.com,//sellercloud.com/?ref=getlatka.com, (US),Jeremy Greenberg,
1,Roadmunk,https://www.linkedin.com/company/roadmunk?ref=getlatka.com,,https://www.crunchbase.com/organization/roadmunk?ref=getlatka.com,//roadmunk.com/?ref=getlatka.com, (CA),,
2,Goconsensus,https://www.linkedin.com/company/getconsensus?ref=getlatka.com,http://twitter.com/goconsensus?ref=getlatka.com,https://www.crunchbase.com/organization/demochimp?ref=getlatka.com,//goconsensus.com/?ref=getlatka.com, (US),Bryce Graham,https://www.facebook.com/goconsensus?ref=getlatka.com
3,Piwik,https://www.linkedin.com/company/piwik-pro/?ref=getlatka.com,,https://www.crunchbase.com/organization/piwik-pro?ref=getlatka.com,//piwik.pro/?ref=getlatka.com,Poland,Maciej Zawadzinski,
4,Pixelme,https://www.linkedin.com/company/pixelme-inc?ref=getlatka.com,,https://www.crunchbase.com/organization/pixelme?ref=getlatka.com,//pixelme.me/?ref=getlatka.com,France,Tom  Benattar,
5,Logianalytics,https://www.linkedin.com/company/logianalytics?ref=getlatka.com,,https://www.crunchbase.com/organization/logi-analytics?ref=getlatka.com,//logianalytics.com/?ref=getlatka.com, (US),,
6,Linkfluence,https://www.linkedin.com/company/linkfluence?ref=getlatka.com,,https://www.crunchbase.com/organization/linkfluence?ref=getlatka.com,//linkfluence.com/?ref=getlatka.com, (US),Guillaume Decugis,
7,Olark,https://www.linkedin.com/company/olark?ref=getlatka.com,https://twitter.com/olark?ref=getlatka.com,https://www.crunchbase.com/organization/olark?ref=getlatka.com,//olark.com/?ref=getlatka.com, (US),Ben Congleton,https://www.facebook.com/olarkchat?ref=getlatka.com
8,Eleapsoftware,https://www.linkedin.com/company/eleap?ref=getlatka.com,,https://www.crunchbase.com/organization/eleap?ref=getlatka.com,//eleapsoftware.com/?ref=getlatka.com, (US),Don Weobong,
9,MeetAppEvent,https://www.linkedin.com/company/ventla-events/?ref=getlatka.com,,https://www.crunchbase.com/organization/ventla?ref=getlatka.com,//meetappevent.com/?ref=getlatka.com,Sweden,Ann-Sofie Krol,
10,Introhive,https://www.linkedin.com/company/introhive?ref=getlatka.com,https://twitter.com/introhive?ref=getlatka.com,https://www.crunchbase.com/organization/introhive?ref=getlatka.com,//introhive.com/?ref=getlatka.com, (US),Lee Blakemore,https://www.facebook.com/Introhive/?ref=getlatka.com
11,Groove,https://www.linkedin.com/company/groove.co?ref=getlatka.com,,https://www.crunchbase.com/organization/groove-2?ref=getlatka.com,//groove.co/?ref=getlatka.com, (US),Chris Rothstein,
12,Alfresco,https://www.linkedin.com/company/alfresco?ref=getlatka.com,https://twitter.com/Alfresco?ref=getlatka.com,https://www.crunchbase.com/organization/alfresco?ref=getlatka.com,//alfresco.com/?ref=getlatka.com,United States,Bernadette Nixon,https://www.facebook.com/alfrescosoftware?ref=getlatka.com
13,Replyify,https://www.linkedin.com/company/replyify/?ref=getlatka.com,,https://www.crunchbase.com/organization/replyify?ref=getlatka.com,//replyify.com/?ref=getlatka.com, (GB),Ryan O'Donnell,
14,Pubvantage,https://www.linkedin.com/company/pubvantage/?ref=getlatka.com,,https://www.crunchbase.com/organization/pubvantage?ref=getlatka.com,//pubvantage.com/?ref=getlatka.com, (US),Declan Carney,
15,Eventespresso,https://www.linkedin.com/company/event-espresso?ref=getlatka.com,,https://www.crunchbase.com/organization/eventespresso?ref=getlatka.com,//eventespresso.com/?ref=getlatka.com, (US),Seth Shoultes,
16,Visible.vc,https://www.linkedin.com/company/visible-vc?ref=getlatka.com,https://twitter.com/VisibleVC?ref=getlatka.com,https://www.crunchbase.com/organization/visible?ref=getlatka.com,//visible.vc/?ref=getlatka.com, (US),Mike Preuss,
17,Upsync,https://ca.linkedin.com/company/upsync-berkeley?ref=getlatka.com,,https://www.crunchbase.com/organization/upsync?ref=getlatka.com,//upsync.com/?ref=getlatka.com, (US),Brad Gilbert,
18,Ecrs,https://ca.linkedin.com/company/ecr-software-corporation?ref=getlatka.com,,https://www.crunchbase.com/organization/ecrs?ref=getlatka.com,//ecrs.com/?ref=getlatka.com, (US),Pete Catoe,
19,Buzzilla,https://www.linkedin.com/company/buzzilla?ref=getlatka.com,,https://www.crunchbase.com/organization/buzzilla?ref=getlatka.com,//buzzilla.com/?ref=getlatka.com,Israel,Yoav Pridor,
