,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company facebook,Company Twitter
0,Gus,https://www.linkedin.com/company/guschat/?ref=getlatka.com,https://www.crunchbase.com/organization/hola-gus/?ref=getlatka.com,//gus.chat/?ref=getlatka.com,Mexico,Jaime  Navarro,,
1,Formstack,https://www.linkedin.com/company/formstack/?ref=getlatka.com,https://www.crunchbase.com/organization/formstack?ref=getlatka.com,//formstack.com/?ref=getlatka.com, (US),Ade Olonoh,https://www.facebook.com/Formstack?ref=getlatka.com,
2,PartnerStack,https://www.linkedin.com/company/partnerstack?ref=getlatka.com,https://www.crunchbase.com/organization/growsumo?ref=getlatka.com,//partnerstack.com/?ref=getlatka.com, (CA),Bryn Jones,,
3,Databox,https://www.linkedin.com/company/databoxhq?ref=getlatka.com,https://www.crunchbase.com/organization/databox?ref=getlatka.com,//databox.com/?ref=getlatka.com, (US),Yaakov Carno,https://www.facebook.com/databox?ref=getlatka.com,https://twitter.com/databoxHQ?ref=getlatka.com
4,Janeapp,https://www.linkedin.com/company/janeapp?ref=getlatka.com,https://www.crunchbase.com/organization/jane-software-inc?ref=getlatka.com,//jane.app/?ref=getlatka.com, (CA),Alison Taylor,https://www.facebook.com/janerunsclinics/?ref=getlatka.com,https://twitter.com/JaneRunsClinics?ref=getlatka.com
5,Workable,https://in.linkedin.com/company/workable-hr?ref=getlatka.com,https://www.crunchbase.com/organization/workable-hr?ref=getlatka.com,//workable.com/?ref=getlatka.com, (US),Nikos Moraitakis,https://www.facebook.com/WorkableHr?ref=getlatka.com,https://twitter.com/Workable?ref=getlatka.com
6,Neoncrm,https://www.linkedin.com/company/neoncrm?ref=getlatka.com,https://www.crunchbase.com/organization/neon-crm?ref=getlatka.com,//neoncrm.com/?ref=getlatka.com, (US),Jeff Gordy,,
7,Smartassistant,https://www.linkedin.com/company/smart-information-systems?ref=getlatka.com,https://www.crunchbase.com/organization/smartassistant?ref=getlatka.com,//smartassistant.com/?ref=getlatka.com, (US),Markus Linder,,
8,Stellaremploy,https://www.linkedin.com/company/stellaremploy?ref=getlatka.com,https://www.crunchbase.com/organization/stellaremploy?ref=getlatka.com,//stellaremploy.com/?ref=getlatka.com, (US),Sara Nadel,,
9,Filestage,https://www.linkedin.com/company/filestage-gmbh?ref=getlatka.com,https://www.crunchbase.com/organization/filestage?ref=getlatka.com,//filestage.io/?ref=getlatka.com,Germany,Niklas Dorn,,
10,Any,https://www.linkedin.com/company/any.do/?ref=getlatka.com,https://www.crunchbase.com/organization/any-do?ref=getlatka.com,//any.do/?ref=getlatka.com,Israel,Omer Perchik,https://www.facebook.com/Any.DO?ref=getlatka.com,https://twitter.com/AnyDO?ref=getlatka.com
11,Sorryasaservice,https://www.linkedin.com/company/sorry-as-a-service?ref=getlatka.com,https://www.crunchbase.com/organization/sorryasaservice?ref=getlatka.com,//sorryasaservice.com/?ref=getlatka.com, (GB),Indrek Poldvee,,
12,Siftrock,https://www.linkedin.com/showcase/siftrock-for-marketo---email-reply-intelligence?ref=getlatka.com,https://www.crunchbase.com/organization/siftrock?ref=getlatka.com,//siftrock.com/?ref=getlatka.com, (US),Adam Schoenfeld,,
13,Talkpush,https://www.linkedin.com/company/talkpush?ref=getlatka.com,https://www.crunchbase.com/organization/talkpush?ref=getlatka.com,//talkpush.com/?ref=getlatka.com,Ireland,Max Armbruster,,
14,Procurementexpress,https://www.linkedin.com/company/procurementexpress?ref=getlatka.com,https://www.crunchbase.com/organization/procurementexpress?ref=getlatka.com,//procurementexpress.com/?ref=getlatka.com,Ireland,James Kennedy,,
15,PreDo,https://in.linkedin.com/company/pre.do?ref=getlatka.com,https://www.crunchbase.com/organization/predo?ref=getlatka.com,//pre.do/?ref=getlatka.com,Denmark,Uffe Koch,,
16,Conveyiq,https://www.linkedin.com/company/conveyiq?ref=getlatka.com,https://www.crunchbase.com/organization/conveyiq?ref=getlatka.com,//conveyiq.com/?ref=getlatka.com, (US),Danielle Weinblatt,,
17,Corporate360,https://ca.linkedin.com/company/corporate-360?ref=getlatka.com,,//corporate360.com/?ref=getlatka.com, (US),Jagabandhu Jena,,
18,Assembla,https://www.linkedin.com/company/assembla?ref=getlatka.com,https://www.crunchbase.com/organization/assembla?ref=getlatka.com,//assembla.com/?ref=getlatka.com, (US),Paul Lynch,,
19,Planable,https://www.linkedin.com/company/planable?ref=getlatka.com,https://www.crunchbase.com/organization/planable?ref=getlatka.com,//planable.io/?ref=getlatka.com, (GB),Xenia Muntean,,
