,name,Company linkedIn,Company Twitter,Company Crunchbase,website url,company location,company founder,Company facebook
0,Aptem,https://www.linkedin.com/company/aptem?ref=getlatka.com,https://twitter.com/AptemSolutions?ref=getlatka.com,https://www.crunchbase.com/organization/mws-technology?ref=getlatka.com,//aptem.co.uk/?ref=getlatka.com, (GB),Richard Alberg,
1,Inflectra,https://www.linkedin.com/company/inflectra-corporation?ref=getlatka.com,,https://www.crunchbase.com/organization/inflectra?ref=getlatka.com,//inflectra.com/?ref=getlatka.com, (US),Adam Sandman,
2,Meahana,https://www.linkedin.com/company/meahana?ref=getlatka.com,,,//meahana.io/?ref=getlatka.com, (US),Matthew Archer,
3,DASS Services,https://in.linkedin.com/company/dass-services?ref=getlatka.com,,,//dassanalytics.com/?ref=getlatka.com, (CA),Aaron Vidas,
4,Chaser ,https://www.linkedin.com/company/chaserapp/?ref=getlatka.com,,,//chaseforme.com/?ref=getlatka.com, (US),Josh Martow,
5,Loom,https://www.linkedin.com/company/useloom?ref=getlatka.com,https://twitter.com/loom?ref=getlatka.com,https://www.crunchbase.com/organization/loom?ref=getlatka.com,//loom.com/?ref=getlatka.com, (US),Joe Thomas,https://www.facebook.com/useloom/?ref=getlatka.com
6,Umwelt.AI,https://www.linkedin.com/company/umwelt/?ref=getlatka.com,,https://www.crunchbase.com/organization/umwelt-peopletech-solutions-private-limited?ref=getlatka.com,//umwelt.ai/?ref=getlatka.com, (IN),Vishal Chopra,
7,SARAL,https://www.linkedin.com/company/getsaral/?ref=getlatka.com,,,//getsaral.com/?ref=getlatka.com,India,Yash Chavan,
8,Vervotech,https://www.linkedin.com/company/vervotech/about/?ref=getlatka.com,https://twitter.com/vervotech?ref=getlatka.com,https://www.crunchbase.com/organization/vervotech?ref=getlatka.com,//vervotech.com/?ref=getlatka.com, (IN),Sanjay Ghare,
9,Qela App,https://www.linkedin.com/company/qela-app?ref=getlatka.com,,,//qela.app/?ref=getlatka.com,Ukraine,Tamara Tachynska,
10,Quash,https://www.linkedin.com/company/quash-bugs/?ref=getlatka.com,,,//quashbugs.com/?ref=getlatka.com, (IN),Ameer Hamza,
11,Binderr,https://mt.linkedin.com/company/binderr?ref=getlatka.com,,,//binderr.com/?ref=getlatka.com,Malta,Jacob Appel,
12,Avestor,https://www.linkedin.com/company/avestor-inc/?ref=getlatka.com,,,//avestorinc.com/?ref=getlatka.com, (US),Badri Malynur,https://www.facebook.com/avestor?ref=getlatka.com
13,OrgaNice,https://www.linkedin.com/company/organiceapp/?ref=getlatka.com,,,//organice.app/?ref=getlatka.com, (US),Andrew Fan,
14,Kunveno,https://www.linkedin.com/company/officialkunveno/?ref=getlatka.com,,,//kunveno.de/?ref=getlatka.com,Germany,Yannick Dickel,
15,MiniHotel SaaS,https://www.linkedin.com/company/minihotel?ref=getlatka.com,,https://www.crunchbase.com/organization/minihotel?ref=getlatka.com,//minihotel.io/?ref=getlatka.com,Israel,Yuval Shtokhamer,
16,Regpack,https://www.linkedin.com/company/1321051/?ref=getlatka.com,,,//regpacks.com/?ref=getlatka.com, (US),Asaf Darash,
17,Customers.ai,https://www.linkedin.com/company/customersai/?ref=getlatka.com,,,//customers.ai/?ref=getlatka.com, (US),Larry Kim,
18,Scandium Systems Inc,https://www.linkedin.com/company/getscandium/?ref=getlatka.com,,,//getscandium.com/?ref=getlatka.com,Nigeria,Abdulazeez Ogunjobi,
19,Agilence Inc.,https://www.linkedin.com/company/agilence-inc/?ref=getlatka.com,,https://www.crunchbase.com/organization/agilence?ref=getlatka.com,//agilenceinc.com/?ref=getlatka.com, (US),Russ Hawkins,
