,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company facebook,Company Twitter
0,Rentger,https://www.linkedin.com/company/rentger?ref=getlatka.com,https://www.crunchbase.com/organization/rentger?ref=getlatka.com,//rentger.com/?ref=getlatka.com,Spain,Chema Larrea,,
1,Activeconversion,https://www.linkedin.com/company/activeconversion/?ref=getlatka.com,https://www.crunchbase.com/organization/activeconversion?ref=getlatka.com,//activeconversion.com/?ref=getlatka.com, (CA),Fred Yee,,
2,Directiq,https://www.linkedin.com/company/directiq?ref=getlatka.com,https://www.crunchbase.com/organization/directiq?ref=getlatka.com,//directiq.com/?ref=getlatka.com, (US),Baris Ergin,,
3,Storeautomator,https://www.linkedin.com/company/storeautomator-in/?ref=getlatka.com,https://www.crunchbase.com/organization/storeautomator?ref=getlatka.com,//storeautomator.com/?ref=getlatka.com, (US),Gokhan Erkavun,,
4,Gatsby,https://www.linkedin.com/company/gatsby?ref=getlatka.com,https://www.crunchbase.com/organization/gatsby?ref=getlatka.com,//gatsby.ai/?ref=getlatka.com, (US),Brett Bernstein,,
5,Tilroy,https://www.linkedin.com/company/tilroy?ref=getlatka.com,https://www.crunchbase.com/organization/prosteps?ref=getlatka.com,//tilroy.com/?ref=getlatka.com,Belgium,Peter De Ranter,,
6,Kudoway,https://www.linkedin.com/company/kudoway?ref=getlatka.com,https://www.crunchbase.com/organization/kudo-c900?ref=getlatka.com,//kudoway.com/?ref=getlatka.com, (US),Fardad Zabetian,,
7,Numerated,https://www.linkedin.com/company/numerated?ref=getlatka.com,https://www.crunchbase.com/organization/numerated?ref=getlatka.com,//numerated.com/?ref=getlatka.com, (US),Kara Lazar,,
8,Recruiterflow,https://www.linkedin.com/company/recruiterflow?ref=getlatka.com,https://www.crunchbase.com/organization/recruiterflow?ref=getlatka.com,//recruiterflow.com/?ref=getlatka.com, (US),Naresh Shenoy,,
9,Shipedge,https://www.linkedin.com/company/shipedge/?ref=getlatka.com,https://www.crunchbase.com/organization/shipedge?ref=getlatka.com,//shipedge.com/?ref=getlatka.com, (US),Jose-Ignacio Flores,https://www.facebook.com/shipedge?ref=getlatka.com,https://twitter.com/Shipedge?ref=getlatka.com
10,Objectbox,https://www.linkedin.com/company/objectbox?ref=getlatka.com,https://www.crunchbase.com/organization/objectbox?ref=getlatka.com,//objectbox.io/?ref=getlatka.com,Germany,Vivien Dollinger,,
11,Aquabyte,https://www.linkedin.com/company/aquabyte?ref=getlatka.com,https://www.crunchbase.com/organization/aquabyte?ref=getlatka.com,//aquabyte.ai/?ref=getlatka.com, (US),Bryton Shang,,
12,Functionally,https://www.linkedin.com/company/functionallyapp?ref=getlatka.com,https://www.crunchbase.com/organization/functionally?ref=getlatka.com,//functionally.com/?ref=getlatka.com, (US),Tim Brewer,,
13,Forge,https://www.linkedin.com/company/forge.ai?ref=getlatka.com,https://www.crunchbase.com/organization/forge?ref=getlatka.com,//forge.ai/?ref=getlatka.com, (US),Jim Crowley,,
14,Coda,https://www.linkedin.com/company/codainc/?ref=getlatka.com,https://www.crunchbase.com/organization/coda-add7?ref=getlatka.com,//coda.io/?ref=getlatka.com, (US),Quentin Clark,https://www.facebook.com/codahq/?ref=getlatka.com,https://twitter.com/coda_hq?ref=getlatka.com
15,Shipwizmo,https://www.linkedin.com/company/wizmo-solutions-inc/?ref=getlatka.com,https://www.crunchbase.com/organization/wizmo-solutions?ref=getlatka.com,//shipwizmo.com/?ref=getlatka.com, (CA),Craig Radford,,
16,Getdata,https://www.linkedin.com/company/getdata-inc/?ref=getlatka.com,https://www.crunchbase.com/organization/getdata?ref=getlatka.com,//getdata.io/?ref=getlatka.com, (US),Gary Teh,,
17,Addu,https://www.linkedin.com/company/adducoapp?ref=getlatka.com,https://www.crunchbase.com/organization/addu?ref=getlatka.com,//addu.co/?ref=getlatka.com,New Zealand,Rees Vinsen,,
18,Apozy,https://www.linkedin.com/company/apozy?ref=getlatka.com,https://www.crunchbase.com/organization/apozy?ref=getlatka.com,//apozy.com/?ref=getlatka.com, (US),Rick Deacon,,
19,Slicki,https://in.linkedin.com/company/slick?ref=getlatka.com,https://www.crunchbase.com/organization/slicki?ref=getlatka.com,//slicki.wiki/?ref=getlatka.com,Denmark,Thomas Nielsen,,
