,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company Twitter,Company facebook
0,Riainabox,https://www.linkedin.com/company/ria-in-a-box?ref=getlatka.com,https://www.crunchbase.com/organization/ria-in-a-box?ref=getlatka.com,//riainabox.com/?ref=getlatka.com, (US),Will Bressman,,
1,Servoy,https://www.linkedin.com/company/servoy?ref=getlatka.com,https://www.crunchbase.com/organization/servoy?ref=getlatka.com,//servoy.com/?ref=getlatka.com,Netherlands,Ron Burg,https://twitter.com/servoy?ref=getlatka.com,
2,Channelgrabber,https://ca.linkedin.com/company/channelgrabber?ref=getlatka.com,https://www.crunchbase.com/organization/channelgrabber?ref=getlatka.com,//channelgrabber.com/?ref=getlatka.com,United Kingdom,Mike Morgan,,
3,Fundapps,https://www.linkedin.com/company/fundapps?ref=getlatka.com,https://www.crunchbase.com/organization/fundapps?ref=getlatka.com,//fundapps.co/?ref=getlatka.com, (GB),Andrew White,,
4,Indicative,https://www.linkedin.com/company/indicative?ref=getlatka.com,https://www.crunchbase.com/organization/indicative?ref=getlatka.com,//indicative.com/?ref=getlatka.com, (US),Jeremy Levy,,
5,Inspectionxpert,https://www.linkedin.com/company/inspectionxpert-corporation?ref=getlatka.com,https://www.crunchbase.com/organization/inspectionxpert?ref=getlatka.com,//inspectionxpert.com/?ref=getlatka.com, (US),Jeff Cope,,
6,Botkeeper,https://in.linkedin.com/company/botkeeper?ref=getlatka.com,https://www.crunchbase.com/organization/botkeeper?ref=getlatka.com,//botkeeper.com/?ref=getlatka.com, (US),Sallie Halsey,,
7,Ordermark,https://www.linkedin.com/company/ordermark?ref=getlatka.com,https://www.crunchbase.com/organization/ordermark?ref=getlatka.com,//ordermark.com/?ref=getlatka.com,United States,Paul Allen,,
8,Benevity,https://www.linkedin.com/company/benevity?ref=getlatka.com,https://www.crunchbase.com/organization/benevity?ref=getlatka.com,//benevity.com/?ref=getlatka.com,Canada,Lance Ludman,https://twitter.com/benevity?ref=getlatka.com,https://www.facebook.com/Benevity?ref=getlatka.com
9,Urbanhire,https://www.linkedin.com/company/urbanhire?ref=getlatka.com,https://www.crunchbase.com/organization/urbanhire?ref=getlatka.com,//urbanhire.com/?ref=getlatka.com,Indonesia,Benson Kawengian,,
10,Reviewpro,https://www.linkedin.com/company/reviewpro?ref=getlatka.com,https://www.crunchbase.com/organization/reviewpro?ref=getlatka.com,//reviewpro.com/?ref=getlatka.com,Spain,Michael Kessler,,
11,Innform,https://in.linkedin.com/company/innform?ref=getlatka.com,https://www.crunchbase.com/organization/innform?ref=getlatka.com,//innform.io/?ref=getlatka.com, (GB),Michael Azzopardi,,
12,Emedicalfusion,https://www.linkedin.com/company/emedicalfusion-llc?ref=getlatka.com,https://www.crunchbase.com/organization/emedicalfusion?ref=getlatka.com,//emedicalfusion.com/?ref=getlatka.com, (US),Andre Etherly,,
13,Makerble,https://www.linkedin.com/company/makerble/?ref=getlatka.com,https://www.crunchbase.com/organization/makerble?ref=getlatka.com,//makerble.com/?ref=getlatka.com, (GB),Matt Kepple,,
14,Mailigen,https://www.linkedin.com/company/mailigen?ref=getlatka.com,https://www.crunchbase.com/organization/mailigen?ref=getlatka.com,//mailigen.com/?ref=getlatka.com,United States,Janis Rose,https://twitter.com/mailigen?ref=getlatka.com,https://www.facebook.com/Mailigen?ref=getlatka.com
15,Nextorbit,https://www.linkedin.com/company/nextorbit?ref=getlatka.com,https://www.crunchbase.com/organization/nextorbit?ref=getlatka.com,//nextorbit.com/?ref=getlatka.com, (US),Kishore Rajgopal,,
16,Somecentral,https://dk.linkedin.com/company/somecentral?ref=getlatka.com,https://www.crunchbase.com/organization/somecentral?ref=getlatka.com,//somecentral.com/?ref=getlatka.com,Denmark,Jan Thorsã,,
17,Cloudsponge,https://www.linkedin.com/company/cloudsponge?ref=getlatka.com,https://www.crunchbase.com/organization/cloudsponge?ref=getlatka.com,//cloudsponge.com/?ref=getlatka.com, (US),Jay Gibb,,
18,Indidesk,https://www.linkedin.com/company/endiwork?ref=getlatka.com,https://www.crunchbase.com/organization/indidesk?ref=getlatka.com,//indidesk.com/?ref=getlatka.com,Spain,Deigo Santiago,,
19,Wrike,https://www.linkedin.com/company/612239/?ref=getlatka.com,,//wrike.com/?ref=getlatka.com, (US),Andrew Filev,,
