,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company facebook,Company Twitter
0,Relahq,https://www.linkedin.com/company/relahq?ref=getlatka.com,https://www.crunchbase.com/organization/rela?ref=getlatka.com,//relahq.com/?ref=getlatka.com, (US),Mike Land,,
1,Teamforce AI,https://www.linkedin.com/company/teamforceai/?ref=getlatka.com,https://www.crunchbase.com/organization/qlicket?ref=getlatka.com,//teamforce.ai/?ref=getlatka.com, (US),Vivek Kumar,,
2,Helpscout,https://www.linkedin.com/company/help-scout/?ref=getlatka.com,https://www.crunchbase.com/organization/help-scout?ref=getlatka.com,//helpscout.com/?ref=getlatka.com, (US),Jared McDaniel,https://www.facebook.com/helpscout?ref=getlatka.com,https://x.com/helpscout?ref=getlatka.com
3,Outseta,https://www.linkedin.com/company/outseta?ref=getlatka.com,,//outseta.com/?ref=getlatka.com,United States,Geoff Roberts,,
4,Docebo,https://www.linkedin.com/company/docebo-srl?ref=getlatka.com,https://www.crunchbase.com/organization/docebo?ref=getlatka.com,//docebo.com/?ref=getlatka.com,Canada,Martino Bagini,https://www.facebook.com/Docebo?ref=getlatka.com,https://twitter.com/docebo?ref=getlatka.com
5,Memsource,https://www.linkedin.com/company/phrasesuite?ref=getlatka.com,https://www.crunchbase.com/organization/phrase?ref=getlatka.com,//memsource.com/?ref=getlatka.com,Czech Republic,David Canek,,
6,Webflow,https://www.linkedin.com/company/webflow-inc-?ref=getlatka.com,,//webflow.com/?ref=getlatka.com, (US),Linda Tong,,
7,Thehotelsnetwork,https://www.linkedin.com/company/the-hotels-network?ref=getlatka.com,https://www.crunchbase.com/organization/thehotelsnetwork?ref=getlatka.com,//thehotelsnetwork.com/?ref=getlatka.com, (ES),Marc Blazquez,,
8,Progg,https://in.linkedin.com/company/progg-as?ref=getlatka.com,https://www.crunchbase.com/organization/progg?ref=getlatka.com,//progg.io/?ref=getlatka.com,Israel,Yaniv Shor,,
9,Waveapps,https://ca.linkedin.com/company/waveapps?ref=getlatka.com,https://www.crunchbase.com/organization/waveapps?ref=getlatka.com,//waveapps.com/?ref=getlatka.com, (CA),Zahir  Khoja,https://www.facebook.com/WaveHQ/?ref=getlatka.com,https://twitter.com/WaveHQ?ref=getlatka.com
10,Brandverity,https://www.linkedin.com/company/brandverity?ref=getlatka.com,https://www.crunchbase.com/organization/brandverity?ref=getlatka.com,//brandverity.com/?ref=getlatka.com, (US),David Naffziger,,
11,Vidalytics,https://www.linkedin.com/company/vidalytics?ref=getlatka.com,https://www.crunchbase.com/organization/vidalytics?ref=getlatka.com,//vidalytics.com/?ref=getlatka.com, (US),Patrick Stiles,,
12,Trials,https://www.linkedin.com/company/trialspark?ref=getlatka.com,https://www.crunchbase.com/organization/trials?ref=getlatka.com,//trials.ai/?ref=getlatka.com, (US),Kim Walpole,,
13,Freshworks,https://www.linkedin.com/company/freshworks-inc/?ref=getlatka.com,https://www.crunchbase.com/organization/freshworks?ref=getlatka.com,//freshworks.com/?ref=getlatka.com, (US),Girish Mathrubootham,https://www.facebook.com/FreshworksInc/?ref=getlatka.com,
14,Lexicata,https://www.linkedin.com/company/lexicata?ref=getlatka.com,https://www.crunchbase.com/organization/lexicata?ref=getlatka.com,//lexicata.com/?ref=getlatka.com, (US),Michael Chasin,,
15,Bizom,https://www.linkedin.com/company/mobisy-technologies-pvt-ltd/?ref=getlatka.com,,//bizom.com/?ref=getlatka.com, (IN),Lalit Bhise,,
16,Reamaze,https://www.linkedin.com/company/reamaze/?ref=getlatka.com,https://www.crunchbase.com/organization/reamaze?ref=getlatka.com,//reamaze.com/?ref=getlatka.com, (US),Lu Wang,,
17,Crossbeam,https://www.linkedin.com/company/getcrossbeam?ref=getlatka.com,https://www.crunchbase.com/organization/crossbeam?ref=getlatka.com,//crossbeam.com/?ref=getlatka.com, (US),Bob Moore,,
18,Tiltsta,https://www.linkedin.com/company/tiltsta?ref=getlatka.com,https://www.crunchbase.com/organization/tiltsta?ref=getlatka.com,//tiltsta.com/?ref=getlatka.com, (US),Bonny Morlak,,
19,Consent,https://ca.linkedin.com/company/midataio?ref=getlatka.com,https://www.crunchbase.com/organization/consent?ref=getlatka.com,//consent.io/?ref=getlatka.com,Canada,Rado Raykov,,
