,name,Company linkedIn,Company facebook,Company Twitter,Company Crunchbase,website url,company location,company founder
0,Limechat,https://in.linkedin.com/company/limechat?ref=getlatka.com,https://www.facebook.com/limechat?ref=getlatka.com,https://twitter.com/LimeChatAI?ref=getlatka.com,https://www.crunchbase.com/organization/limechat?ref=getlatka.com,//limechat.ai/?ref=getlatka.com, (IN),Nikhil  Gupta
1,Freeverse.io,https://www.linkedin.com/company/freeverseio/?ref=getlatka.com,,,https://www.crunchbase.com/organization/freeverse-io?ref=getlatka.com,//freeverse.io/?ref=getlatka.com,Spain,Alun Evans
2,Salad Technologies,https://www.linkedin.com/company/salad-technologies?ref=getlatka.com,,,https://www.crunchbase.com/organization/salad-technologies?ref=getlatka.com,//salad.com/?ref=getlatka.com, (US),Bob Miles
3,Pliance,https://www.linkedin.com/company/pliance?ref=getlatka.com,,,https://www.crunchbase.com/organization/pliance?ref=getlatka.com,//pliance.io/?ref=getlatka.com,Sweden,Siam Choudhury
4,package.ai,https://www.linkedin.com/company/package.ai/mycompany/?viewAsMember=true&ref=getlatka.com,,,https://www.crunchbase.com/organization/package-ai?ref=getlatka.com,//package.ai/?ref=getlatka.com,Israel,Ziv Fass
5,Norby,https://www.linkedin.com/company/73934204/?ref=getlatka.com,,,,//norby.live/?ref=getlatka.com, (US),Nick Gereard
6,Dreamdata.io,https://www.linkedin.com/company/28097934/?ref=getlatka.com,https://www.facebook.com/dreamdata.io/?ref=getlatka.com,https://twitter.com/dreamdataio?ref=getlatka.com,https://www.crunchbase.com/organization/dreamdata-io?ref=getlatka.com,//dreamdata.io/?ref=getlatka.com,Denmark,Lars Grønnegaard
7,Fyma,https://www.linkedin.com/company/fyma-ai?ref=getlatka.com,,,,//fyma.ai/?ref=getlatka.com, (GB),Taavi Tammiste
8,Wunderkind,https://www.linkedin.com/company/bewunderkind/?ref=getlatka.com,https://www.facebook.com/BeWunderkind/?ref=getlatka.com,https://twitter.com/wunderkind?ref=getlatka.com,https://www.crunchbase.com/organization/bounce-exchange?ref=getlatka.com,//wunderkind.co/?ref=getlatka.com, (US),Bill Ingram
9,AtomBeam Technologies,https://www.linkedin.com/company/atombeam/?ref=getlatka.com,,,https://www.crunchbase.com/organization/drivewarp-llc?ref=getlatka.com,//atombeamtech.com/?ref=getlatka.com, (US),Charles Yeomans
10,Venly,https://www.linkedin.com/company/venly-io?ref=getlatka.com,,,https://www.crunchbase.com/organization/arkane-network?ref=getlatka.com,//venly.io/?ref=getlatka.com,Belgium,Tim Dierckxsens
11,Aviyel,https://www.linkedin.com/company/aviyel/?ref=getlatka.com,,,https://www.crunchbase.com/organization/aviyel?ref=getlatka.com,//aviyel.com/?ref=getlatka.com, (US),Joes Kuttan
12,Jiva.ai,https://www.linkedin.com/company/jiva-ai-ltd/?ref=getlatka.com,,,https://www.crunchbase.com/organization/jiva?ref=getlatka.com,//jiva.ai/?ref=getlatka.com,United Kingdom,Manish Patel
13,Data Duopoly,https://www.linkedin.com/company/data-duopoly?ref=getlatka.com,,,https://www.crunchbase.com/organization/data-duopoly?ref=getlatka.com,//dataduopoly.com/?ref=getlatka.com, (GB),Tanuvi Ethunandan
14,RippleWorx,https://www.linkedin.com/company/rippleworx?ref=getlatka.com,,,https://www.crunchbase.com/organization/rippleworx?ref=getlatka.com,//rippleworx.com/?ref=getlatka.com, (US),Angie Sandritter
15,journy.io,https://www.linkedin.com/company/journy-io?ref=getlatka.com,,,https://www.crunchbase.com/organization/journy-io?ref=getlatka.com,//journy.io/?ref=getlatka.com,Belgium,Hans Ott
16,MYR POS,https://www.linkedin.com/company/10815170/?ref=getlatka.com,,,,//myr.io/?ref=getlatka.com, (CA),David Nadezhdin
17,Resurface Labs,https://www.linkedin.com/company/resurfacelabs/?ref=getlatka.com,,,https://www.crunchbase.com/organization/resurface-io?ref=getlatka.com,//resurface.io/?ref=getlatka.com, (US),Christine Bottagaro
18,Flock Freight,https://www.linkedin.com/company/flock-freight/?ref=getlatka.com,,,https://www.crunchbase.com/organization/flock-freight?ref=getlatka.com,//flockfreight.com/?ref=getlatka.com, (US),Oren Zaslansky
19,Celitech Inc.,https://www.linkedin.com/company/celitech-inc?ref=getlatka.com,,,https://www.crunchbase.com/organization/celitech?ref=getlatka.com,//celitech.com/?ref=getlatka.com, (US),Ahmad Fares
