,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company Twitter
0,Yellowdig,https://www.linkedin.com/company/yellowdig/?ref=getlatka.com,https://www.crunchbase.com/organization/yellowdig?ref=getlatka.com,//yellowdig.com/?ref=getlatka.com, (US),Shaunak Roy,
1,Radius Agent,https://www.linkedin.com/company/radiusagent/?ref=getlatka.com,https://www.crunchbase.com/organization/radiusagent?ref=getlatka.com,//radiusagent.com/?ref=getlatka.com, (US),Biju Ashokan,
2,Amber Book,https://www.linkedin.com/company/amber-book/?ref=getlatka.com,https://www.crunchbase.com/organization/amber-book?ref=getlatka.com,//amber-book.com/?ref=getlatka.com, (US),,
3,DashThis,https://www.linkedin.com/company/dashthis/?ref=getlatka.com,https://www.crunchbase.com/organization/dashthis?ref=getlatka.com,//dashthis.com/?ref=getlatka.com, (CA),Antoine Pare,
4,Fatura Simples,https://www.linkedin.com/company/fatura-simples?ref=getlatka.com,https://www.crunchbase.com/organization/fatura-simples?ref=getlatka.com,//faturasimples.com.br/?ref=getlatka.com, (BR),Felipe Bagetti,
5,Enquire AI,https://www.linkedin.com/company/enquire-ai/?ref=getlatka.com,https://www.crunchbase.com/organization/enquire-ai?ref=getlatka.com,//enquire.ai/?ref=getlatka.com, (US),Cenk Sidar,
6,Gruntify,https://www.linkedin.com/company/gruntify?ref=getlatka.com,,//gruntify.com/?ref=getlatka.com,Australia,Igor Stjepanovic,
7,Promys,https://www.linkedin.com/company/promys-inc-/?ref=getlatka.com,https://www.crunchbase.com/organization/promys-psa?ref=getlatka.com,//promys.com/?ref=getlatka.com, (CA),John Breakey,https://twitter.com/Promys_PSA?ref=getlatka.com
8,Golee,https://www.linkedin.com/company/10586520?ref=getlatka.com,https://www.crunchbase.com/organization/golee?ref=getlatka.com,//golee.it/?ref=getlatka.com,Italy,Tommaso Guerra,
9,Propster,https://www.linkedin.com/company/27014732/?ref=getlatka.com,https://www.crunchbase.com/organization/sonderwunsch-meister-gmbh?ref=getlatka.com,//propster.tech/?ref=getlatka.com,Austria,Milan Zahradnik,
10,Raffle,https://www.linkedin.com/company/18705408?ref=getlatka.com,https://www.crunchbase.com/organization/raffle?ref=getlatka.com,//raffle.ai/?ref=getlatka.com,Denmark,Suzanne Lauritzen,
11,Ahead Intranet,https://www.linkedin.com/company/aheadintranet/?ref=getlatka.com,https://www.crunchbase.com/organization/ahead-934e?ref=getlatka.com,//aheadintranet.com/?ref=getlatka.com,Switzerland,,
12,InterFace,https://www.linkedin.com/company/interface-re/?ref=getlatka.com,https://www.crunchbase.com/organization/interface-2?ref=getlatka.com,//interface.re/?ref=getlatka.com, (US),Daniel Poston,
13,Overcast HQ,https://www.linkedin.com/company/overcasthq/?ref=getlatka.com,https://www.crunchbase.com/organization/overcast-hq?ref=getlatka.com,//overcasthq.com/?ref=getlatka.com,Ireland,Philippe Brodeur,
14,Sendzilla,https://www.linkedin.com/company/sendzilla?ref=getlatka.com,https://www.crunchbase.com/organization/sendzilla?ref=getlatka.com,//sendzilla.io/?ref=getlatka.com, (IN),Saurav Gupta,
15,Digits,https://www.linkedin.com/company/digits-financial/?ref=getlatka.com,https://www.crunchbase.com/organization/digits?ref=getlatka.com,//digits.com/?ref=getlatka.com, (US),Jeff Seibert,
16,Lymb,https://www.linkedin.com/company/7949147/admin/?ref=getlatka.com,https://www.crunchbase.com/organization/fun-with-balls?ref=getlatka.com,//lymb.io/?ref=getlatka.com,Germany,Markoss Kern,
17,Agendrix,https://www.linkedin.com/company/agendrix?ref=getlatka.com,https://www.crunchbase.com/organization/agendrix?ref=getlatka.com,//agendrix.com/?ref=getlatka.com,Canada,Mathieu Allaire,
18,CookieFirst,https://www.linkedin.com/company/cookiefirst?ref=getlatka.com,https://www.crunchbase.com/organization/cookiefirst?ref=getlatka.com,//cookiefirst.com/?ref=getlatka.com,Netherlands,Kees Van den Bos,
19,Aryel,https://www.linkedin.com/company/aryel/?ref=getlatka.com,https://www.crunchbase.com/organization/aryel?ref=getlatka.com,//aryel.io/?ref=getlatka.com,Italy,Mattia Salvi,
