,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company Twitter,Company facebook
0,Logology,https://www.linkedin.com/company/logology?ref=getlatka.com,https://www.crunchbase.com/organization/logology?ref=getlatka.com,//logology.co/?ref=getlatka.com,France,Dagobert Renouf,,
1,Hopscotch,https://www.linkedin.com/company/hopscotchclub?ref=getlatka.com,https://www.crunchbase.com/organization/hopscotch-2?ref=getlatka.com,//hopscotch.club/?ref=getlatka.com, (CA),Rahul Anand,https://twitter.com/hopscotch_club?ref=getlatka.com,
2,HockeyStack,https://www.linkedin.com/company/hockeystack/?ref=getlatka.com,https://www.crunchbase.com/organization/hockeystack?ref=getlatka.com,//hockeystack.com/?ref=getlatka.com, (US),Emir Atli,,https://www.facebook.com/hockeystack/?ref=getlatka.com
3,Freightos,https://www.linkedin.com/company/freightos?ref=getlatka.com,https://www.crunchbase.com/organization/freightos?ref=getlatka.com,//freightos.com/?ref=getlatka.com, (US),Zvi Schreiber,https://twitter.com/freightos?ref=getlatka.com,https://www.facebook.com/Freightos/?ref=getlatka.com
4,Dux Soup,https://www.linkedin.com/company/duxsoup?ref=getlatka.com,https://www.crunchbase.com/organization/dux-soup?ref=getlatka.com,//dux-soup.com/?ref=getlatka.com,Netherlands,Will Van Der Sanden,,
5,Slintel,https://www.linkedin.com/company/slintel/mycompany/?ref=getlatka.com,https://www.crunchbase.com/organization/slintel?ref=getlatka.com,//slintel.com/?ref=getlatka.com,India,Deepak Anchala,,
6,Reworking,https://www.linkedin.com/company/reworking-software/?ref=getlatka.com,https://www.crunchbase.com/organization/rework-2?ref=getlatka.com,//reworking.com/?ref=getlatka.com, (GB),Michael Beck,,
7,COR,https://www.linkedin.com/company/project-cor?ref=getlatka.com,https://www.crunchbase.com/organization/cor-2?ref=getlatka.com,//projectcor.com/?ref=getlatka.com,United States,Santi Bibiloni,,
8,Resonant,https://www.linkedin.com/company/resonant-inc-/?ref=getlatka.com,https://www.crunchbase.com/organization/resonant-inc?ref=getlatka.com,//resonant.com/?ref=getlatka.com, (US),,,
9,ProductiveRecruit,https://www.linkedin.com/company/productiverecruit?ref=getlatka.com,https://www.crunchbase.com/organization/productiverecruit?ref=getlatka.com,//productiverecruit.com/?ref=getlatka.com, (US),Colin Mcatee,,
10,FileCloud by Codelathe,https://www.linkedin.com/company/filecloud/?ref=getlatka.com,https://www.crunchbase.com/organization/codelathe?ref=getlatka.com,//filecloud.com/?ref=getlatka.com, (US),Manoj Mohandas,,
11,hype4,,https://www.crunchbase.com/organization/hype4?ref=getlatka.com,//hype4.com/?ref=getlatka.com,Poland,MICHAL MALEWICZ,,
12,InGo,linkedin.com/company/ingocommunities,https://www.crunchbase.com/organization/ingo-me?ref=getlatka.com,//ingo.me/?ref=getlatka.com, (US),Michael Barnett,,
13,Testimonial,https://www.linkedin.com/company/testimonialto?ref=getlatka.com,,//testimonial.to/?ref=getlatka.com, (US),Damon  Chen,,
14,HRForecast,https://www.linkedin.com/company/hrforecast---a-peopleforecast-company/?ref=getlatka.com,https://www.crunchbase.com/organization/hrforecast?ref=getlatka.com,//hrforecast.com/?ref=getlatka.com,Germany,Christian Vetter,,
15,GetEmails,https://www.linkedin.com/company/getemails?ref=getlatka.com,,//getemails.com/?ref=getlatka.com, (US),Adam Robinson,,
16,Indico,https://www.linkedin.com/company/indico-data-solutions?ref=getlatka.com,https://www.crunchbase.com/organization/indico?ref=getlatka.com,//indico.io/?ref=getlatka.com, (US),Slater Victoroff,,
17,Potion,,https://www.crunchbase.com/organization/potion?ref=getlatka.com,//potion.so/?ref=getlatka.com, (US),Noah Bragg,,
18,Klaviyo,https://www.linkedin.com/company/klaviyo?ref=getlatka.com,,//klaviyo.com/?ref=getlatka.com, (US),Andrew Bialecki,,
19,Grain Intelligence Inc.,https://www.linkedin.com/company/grainhq/?ref=getlatka.com,https://www.crunchbase.com/organization/grain-intelligence?ref=getlatka.com,//grain.com/?ref=getlatka.com,United States,Mike Adams,https://twitter.com/grainhq?ref=getlatka.com,
