,name,Company linkedIn,Company Crunchbase,website url,company location,company founder
0,Storytap,https://www.linkedin.com/company/storytap?ref=getlatka.com,https://www.crunchbase.com/organization/storytap?ref=getlatka.com,//storytap.com/?ref=getlatka.com, (CA),Bernadette Butler
1,Troops,https://www.linkedin.com/company/troops?ref=getlatka.com,https://www.crunchbase.com/organization/troops?ref=getlatka.com,//troops.ai/?ref=getlatka.com, (US),Dan Reich
2,Spark Real Estate Software,https://www.linkedin.com/company/spark-re?ref=getlatka.com,https://www.crunchbase.com/organization/spark-crm?ref=getlatka.com,//spark.re/?ref=getlatka.com, (CA),Simeon Garratt
3,Intellasphere,https://www.linkedin.com/company/intellasphere/?ref=getlatka.com,https://www.crunchbase.com/organization/intellasphere?ref=getlatka.com,//intellasphere.com/?ref=getlatka.com, (US),Bruce Worrall
4,Sitemanager,https://in.linkedin.com/company/sitemanager?ref=getlatka.com,https://www.crunchbase.com/organization/sitemanager?ref=getlatka.com,//sitemanager.io/?ref=getlatka.com,Belgium,Alexander Hoogewijs
5,Saborpos,https://www.linkedin.com/company/novaux?ref=getlatka.com,https://www.crunchbase.com/organization/saborpos?ref=getlatka.com,//saborpos.com/?ref=getlatka.com, (US),Javier Dutan
6,Omnystudio,https://www.linkedin.com/company/121cast?ref=getlatka.com,https://www.crunchbase.com/organization/omnystudio?ref=getlatka.com,//omnystudio.com/?ref=getlatka.com, (AU),Sharon Taylor
7,Ripple Recruiting,https://www.linkedin.com/company/ripplematch/?ref=getlatka.com,https://www.crunchbase.com/organization/ripplematch?ref=getlatka.com,//ripplematch.com/?ref=getlatka.com, (US),Andrew Myers
8,Predictleads,https://www.linkedin.com/company/predictleads?ref=getlatka.com,https://www.crunchbase.com/organization/predictleads?ref=getlatka.com,//predictleads.com/?ref=getlatka.com,Slovenia,Roq Xever
9,Weblium,https://www.linkedin.com/company/weblium?ref=getlatka.com,https://www.crunchbase.com/organization/weblium?ref=getlatka.com,//weblium.com/?ref=getlatka.com, (US),Victoria Koko
10,Intellibrand,https://www.linkedin.com/company/intellibrand.ai/?ref=getlatka.com,,//intellibrand.ai/?ref=getlatka.com,Brazil,Chau Sanh
11,Bizversity,https://au.linkedin.com/school/bizversity/?ref=getlatka.com,https://www.crunchbase.com/organization/bizversity?ref=getlatka.com,//bizversity.com/?ref=getlatka.com, (AU),Dale Beaumont
12,Cloudkpi,https://www.linkedin.com/company/cloudkpi?ref=getlatka.com,https://www.crunchbase.com/organization/cloudkpi?ref=getlatka.com,//cloudkpi.com/?ref=getlatka.com,Ireland,Maeve Kneafsey
13,Kiratalent,https://www.linkedin.com/company/kira-talent?ref=getlatka.com,https://www.crunchbase.com/organization/kiratalent?ref=getlatka.com,//kiratalent.com/?ref=getlatka.com, (CA),Emilie Cushman
14,Kustomer,https://www.linkedin.com/company/kustomer?ref=getlatka.com,,//kustomer.com/?ref=getlatka.com, (US),
15,Brax,https://www.linkedin.com/company/brax?ref=getlatka.com,https://www.crunchbase.com/organization/brax?ref=getlatka.com,//brax.io/?ref=getlatka.com, (US),Mark Simon
16,50Skills,https://in.linkedin.com/company/50skills?ref=getlatka.com,,//50skills.com/?ref=getlatka.com,Iceland,Kristjan Kristjansson
17,Skycision,https://www.linkedin.com/company/skycision?ref=getlatka.com,https://www.crunchbase.com/organization/skycision?ref=getlatka.com,//skycision.com/?ref=getlatka.com, (US),Brendan Carroll
18,Greendeck,https://www.linkedin.com/company/greendeckco?ref=getlatka.com,https://www.crunchbase.com/organization/greendeck?ref=getlatka.com,//greendeck.co/?ref=getlatka.com,Germany,Aayush Jain
19,Seeforge,https://in.linkedin.com/company/see-forge?ref=getlatka.com,https://www.crunchbase.com/organization/seeforge?ref=getlatka.com,//seeforge.com/?ref=getlatka.com, (US),James Mcdonough
