,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company facebook,Company Twitter
0,Teampay,https://www.linkedin.com/company/team-labs-inc.?ref=getlatka.com,https://www.crunchbase.com/organization/teampay?ref=getlatka.com,//teampay.co/?ref=getlatka.com, (US),Dustin Renn,,
1,Feedvisor,https://www.linkedin.com/company/feedvisor?ref=getlatka.com,https://www.crunchbase.com/organization/feedvisor?ref=getlatka.com,//feedvisor.com/?ref=getlatka.com, (US),Victor Rosenman,,
2,Textrecruit,https://www.linkedin.com/company/textrecruit?ref=getlatka.com,https://www.crunchbase.com/organization/textrecruit?ref=getlatka.com,//textrecruit.com/?ref=getlatka.com, (US),Erik Kostelnik,,
3,Collibra,https://www.linkedin.com/company/collibra?ref=getlatka.com,https://www.crunchbase.com/organization/collibra?ref=getlatka.com,//collibra.com/?ref=getlatka.com,Belgium,Felix Maele,https://www.facebook.com/CollibraInc/?ref=getlatka.com,https://twitter.com/collibra?ref=getlatka.com
4,Trex,https://www.linkedin.com/company/trex-company?ref=getlatka.com,https://www.crunchbase.com/organization/trex?ref=getlatka.com,//trexgroup.com/?ref=getlatka.com, (US),Benjamin Cohen,,
5,Snaplogic,https://ca.linkedin.com/company/snaplogic?ref=getlatka.com,https://www.crunchbase.com/organization/snaplogic?ref=getlatka.com,//snaplogic.com/?ref=getlatka.com, (US),Gaurav Dhillon,https://www.facebook.com/SnapLogic?ref=getlatka.com,https://twitter.com/SnapLogic?ref=getlatka.com
6,Redbrick,https://www.linkedin.com/company/rdbrck?ref=getlatka.com,https://www.crunchbase.com/organization/redbrick?ref=getlatka.com,//rdbrck.com/?ref=getlatka.com, (CA),Tobyn Sowden,,
7,"Nimble, Inc",https://www.linkedin.com/company/nimblecrm/?ref=getlatka.com,https://www.crunchbase.com/organization/nimble-crm?ref=getlatka.com,//nimble.com/?ref=getlatka.com, (US),Jon Ferrara,https://www.facebook.com/nimble/?ref=getlatka.com,https://twitter.com/nimble?ref=getlatka.com
8,AirSlate,https://www.linkedin.com/company/airslate?ref=getlatka.com,https://www.crunchbase.com/organization/airslate?ref=getlatka.com,//airslate.com/?ref=getlatka.com, (US),Borya Shakhnovich,https://www.facebook.com/airSlate/?ref=getlatka.com,https://twitter.com/airSlate?ref=getlatka.com
9,Frrole,https://www.linkedin.com/company/frrole?ref=getlatka.com,https://www.crunchbase.com/organization/frrole?ref=getlatka.com,//frrole.com/?ref=getlatka.com, (US),Amarpreet Kalkat,,
10,Mention,https://www.linkedin.com/company/mention?ref=getlatka.com,https://www.crunchbase.com/organization/mention?ref=getlatka.com,//mention.com/?ref=getlatka.com,France,Matthieu Vaxelaire,https://www.facebook.com/mentionapp?ref=getlatka.com,https://twitter.com/Mention?ref=getlatka.com
11,Webinarninja,https://www.linkedin.com/company/webinarninjasoftware?ref=getlatka.com,https://www.crunchbase.com/organization/webinarninja?ref=getlatka.com,//webinarninja.com/?ref=getlatka.com, (AU),Omar Zenhom,,
12,Booker,https://www.linkedin.com/company/makro-self-service-wholesalers-ltd-?ref=getlatka.com,https://www.crunchbase.com/organization/booker-software?ref=getlatka.com,//booker.com/?ref=getlatka.com, (US),Josh Mccarter,https://www.facebook.com/getbooker?ref=getlatka.com,https://twitter.com/GetBooker?ref=getlatka.com
13,Smartsheet,https://www.linkedin.com/company/smartsheet-com?ref=getlatka.com,https://www.crunchbase.com/organization/smartsheet?ref=getlatka.com,//smartsheet.com/?ref=getlatka.com, (US),Mark Mader,,
14,Rfactr,https://ca.linkedin.com/company/rfactr?ref=getlatka.com,https://www.crunchbase.com/organization/rfactr-inc?ref=getlatka.com,//rfactr.com/?ref=getlatka.com, (US),Richard Brasser,,
15,Winmo,https://www.linkedin.com/company/winmo-sales-intelligence/?ref=getlatka.com,https://www.crunchbase.com/organization/winmo?ref=getlatka.com,//winmo.com/?ref=getlatka.com, (US),Mike Brouillette,,https://twitter.com/WinmoBiz?ref=getlatka.com
16,Smartbeat,https://in.linkedin.com/company/smartbeat?ref=getlatka.com,https://www.crunchbase.com/organization/smartbeat?ref=getlatka.com,//smartbeat.io/?ref=getlatka.com,Turkey,Paul Trappitt,,
17,Astronomer,https://www.linkedin.com/company/astronomer?ref=getlatka.com,https://www.crunchbase.com/organization/astronomer?ref=getlatka.com,//astronomer.io/?ref=getlatka.com, (US),Tim Brunk,,
18,Findo,https://www.linkedin.com/company/findolatam?ref=getlatka.com,https://www.crunchbase.com/organization/findo?ref=getlatka.com,//findo.com/?ref=getlatka.com, (US),Gary Fowler,,
19,Thesaas,https://in.linkedin.com/company/the-saas-institute?ref=getlatka.com,https://www.crunchbase.com/organization/the-saas-co?ref=getlatka.com,//thesaas.co/?ref=getlatka.com,Spain,Peter Schlecht,,
