,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company Twitter,Company facebook
0,Easyredir,https://www.linkedin.com/company/easyredir?ref=getlatka.com,https://www.crunchbase.com/organization/easyredir?ref=getlatka.com,//easyredir.com/?ref=getlatka.com, (CA),William Richards,,
1,Salecycle,https://www.linkedin.com/company/salecycle?ref=getlatka.com,https://www.crunchbase.com/organization/salecycle?ref=getlatka.com,//salecycle.com/?ref=getlatka.com, (GB),Judith Robertson,,
2,Processmaker,https://www.linkedin.com/company/processmaker/?ref=getlatka.com,https://www.crunchbase.com/organization/processmaker?ref=getlatka.com,//processmaker.com/?ref=getlatka.com, (US),Brian Reale,https://twitter.com/processmaker?ref=getlatka.com,
3,Bloomreach,https://in.linkedin.com/company/bloomreach?ref=getlatka.com,https://www.crunchbase.com/organization/bloomreach?ref=getlatka.com,//bloomreach.com/?ref=getlatka.com, (US),Raj De Datta,https://twitter.com/bloomreach_tm?ref=getlatka.com,https://www.facebook.com/bloomreachlife?ref=getlatka.com
4,Atrium,https://www.linkedin.com/company/atrium-ai/?ref=getlatka.com,https://www.crunchbase.com/organization/atrium-insights?ref=getlatka.com,//atrium.ai/?ref=getlatka.com, (US),Chris Heineken,,
5,Structuredweb,https://af.linkedin.com/company/structuredweb?ref=getlatka.com,https://www.crunchbase.com/organization/structuredweb?ref=getlatka.com,//structuredweb.com/?ref=getlatka.com, (US),Steven W Kellam,,
6,Workato,https://www.linkedin.com/company/workato?ref=getlatka.com,https://www.crunchbase.com/organization/workato?ref=getlatka.com,//workato.com/?ref=getlatka.com, (US),Vijay Tella,https://twitter.com/workato?ref=getlatka.com,https://www.facebook.com/workato/?ref=getlatka.com
7,Turtl,https://www.linkedin.com/company/turtl/?ref=getlatka.com,https://www.crunchbase.com/organization/turtl?ref=getlatka.com,//turtl.co/?ref=getlatka.com, (GB),Nick Mason,,
8,Metrilo,https://www.linkedin.com/company/metrilo?ref=getlatka.com,https://www.crunchbase.com/organization/metrilo?ref=getlatka.com,//metrilo.com/?ref=getlatka.com, (US),Murry Ivanoff,,
9,Apptimize,https://in.linkedin.com/company/apptimize-inc?ref=getlatka.com,https://www.crunchbase.com/organization/apptimize?ref=getlatka.com,//apptimize.com/?ref=getlatka.com, (US),Nancy Hua,,
10,Proposable,https://www.linkedin.com/company/proposable?ref=getlatka.com,https://www.crunchbase.com/organization/proposable?ref=getlatka.com,//proposable.com/?ref=getlatka.com, (US),James Kappen,,
11,Coremedia,https://www.linkedin.com/company/coremedia-ag?ref=getlatka.com,https://www.crunchbase.com/organization/coremedia?ref=getlatka.com,//coremedia.com/?ref=getlatka.com,Germany,Soeren Stamer,,
12,Onemob,https://www.linkedin.com/company/onemob/?ref=getlatka.com,https://www.crunchbase.com/organization/onemob?ref=getlatka.com,//onemob.com/?ref=getlatka.com, (US),Sati Hillyer,https://twitter.com/OneMob?ref=getlatka.com,https://www.facebook.com/onemobvideo/?ref=getlatka.com
13,Buzzbuilderpro,https://www.linkedin.com/company/buzzbuilder?ref=getlatka.com,https://www.crunchbase.com/organization/buzzbuilder-pro?ref=getlatka.com,//buzzbuilderpro.com/?ref=getlatka.com, (US),Jake Atwood,,
14,Luckyorange,https://www.linkedin.com/company/lucky-orange/?ref=getlatka.com,https://www.crunchbase.com/organization/lucky-orange?ref=getlatka.com,//luckyorange.com/?ref=getlatka.com, (US),Dann Wajcman,,
15,Localytics,https://www.linkedin.com/company/localytics?ref=getlatka.com,https://www.crunchbase.com/organization/localytics?ref=getlatka.com,//localytics.com/?ref=getlatka.com, (US),Raj Aggarwal,,
16,Leadgnome,https://www.linkedin.com/company/leadgnome?ref=getlatka.com,https://www.crunchbase.com/organization/leadgnome?ref=getlatka.com,//leadgnome.com/?ref=getlatka.com, (US),Matt Benati,,
17,DataStax,https://www.linkedin.com/company/datastax?ref=getlatka.com,https://www.crunchbase.com/organization/datastax?ref=getlatka.com,//datastax.com/?ref=getlatka.com, (US),Chet Kapoor,https://twitter.com/DataStax?ref=getlatka.com,https://www.facebook.com/DataStax/?ref=getlatka.com
18,Talend,https://www.linkedin.com/company/talend?ref=getlatka.com,https://www.crunchbase.com/organization/talend?ref=getlatka.com,//talend.com/?ref=getlatka.com, (US),Christal Bemont,https://twitter.com/talend?ref=getlatka.com,https://www.facebook.com/talend/?ref=getlatka.com
19,Optimove,https://www.linkedin.com/company/optimove?ref=getlatka.com,https://www.crunchbase.com/organization/optimove?ref=getlatka.com,//optimove.com/?ref=getlatka.com, (US),Pini Yakuel,,
