year,Title,Nominations,awards
2010,The King's Speech,12,4
2010,Inception,8,4
2010,The Social Network,8,3
2010,The Fighter,7,2
2010,Toy Story 3,5,2
2010,Alice in Wonderland,3,2
2010,Black Swan,5,1
2010,In a Better World,1,1
2010,The Lost Thing,1,1
2010,God of Love,1,1
2010,The Wolfman,1,1
2010,Strangers No More,1,1
2010,Inside Job,1,1
