year,Title,Nominations,awards
2012,Argo,7,3
2012,Life of Pi,11,4
2012,Les Misérables,8,3
2012,Lincoln,12,2
2012,Django Unchained,5,2
2012,Skyfall,5,2
2012,Silver Linings Playbook,8,1
2012,Zero Dark Thirty,5,1
2012,Amour,5,1
2012,Anna Karenina,4,1
2012,Paperman,1,1
2012,Brave,1,1
2012,Searching for Sugar Man,1,1
2012,Inocente,1,1
2012,Curfew,1,1
