year,Title,Nominations,awards
2013,12 Years a Slave,9,3
2013,Gravity,10,7
2013,Dallas Buyers Club,6,3
2013,Frozen,2,2
2013,The Great Gatsby,2,2
2013,Her,5,1
2013,Blue Jasmine,3,1
2013,Mr Hublot,1,1
2013,The Lady in Number 6: Music Saved My Life,1,1
2013,Helium,1,1
2013,The Great Beauty,1,1
2013,20 Feet from Stardom,1,1
