year,Title,Nominations,awards
2011,The Artist,10,5
2011,Hugo,11,5
2011,The Iron Lady,2,2
2011,The Descendants,5,1
2011,The Girl with the Dragon Tattoo,5,1
2011,Midnight in Paris,4,1
2011,The Help,4,1
2011,A Separation,2,1
2011,The Fantastic Flying Books of Mr. Morris Lessmore,1,1
2011,The Shore,1,1
2011,Undefeated,1,1
2011,The Muppets,1,1
2011,Saving Face,1,1
2011,Beginners,1,1
2011,Rango,1,1
