year,Title,Nominations,awards
2014,Birdman,9,4
2014,The Grand Budapest Hotel,9,4
2014,Whiplash,5,3
2014,The Imitation Game,8,1
2014,American Sniper,6,1
2014,Boyhood,6,1
2014,Interstellar,5,1
2014,The Theory of Everything,5,1
2014,Ida,2,1
2014,Selma,2,1
2014,Citizenfour,1,1
2014,Big Hero 6,1,1
2014,Crisis Hotline: Veterans Press 1,1,1
2014,The Phone Call,1,1
2014,Still Alice,1,1
2014,Feast,1,1
