year,Title,Nominations,awards
2015,Spotlight,6,2
2015,Mad Max: Fury Road,10,6
2015,The Revenant,12,3
2015,Bridge of Spies,6,1
2015,The Big Short,5,1
2015,The Danish Girl,4,1
2015,Room,4,1
2015,Ex Machina,2,1
2015,The Hateful Eight,2,1
2015,Inside Out,2,1
2015,Amy,1,1
2015,Bear Story,1,1
2015,A Girl in the River: The Price of Forgiveness,1,1
2015,Son of Saul,1,1
2015,Spectre,1,1
2015,Stutterer,1,1
