title,Nomination,awards
12 Years a Slave,9,3
Gravity,10,7
Dallas Buyers Club,6,3
Frozen,2,2
The Great Gatsby,2,2
Her,5,1
Blue Jasmine,3,1
Mr Hublot,1,1
The Lady in Number 6: Music Saved My Life,1,1
Helium,1,1
The Great Beauty,1,1
20 Feet from Stardom,1,1
