,name,Company linkedIn,Company facebook,Company Twitter,Company Crunchbase,website url,company location,company founder
0,LearnWorlds,"https://www.linkedin.com/company/learnworlds/people/,%20https://www.linkedin.com/company/learnworlds/?ref=getlatka.com",https://www.facebook.com/learnWorldsCo/?ref=getlatka.com,https://twitter.com/LearnWorlds?ref=getlatka.com,https://www.crunchbase.com/organization/learnworlds?ref=getlatka.com,//learnworlds.com/?ref=getlatka.com,Cyprus,George Kokolakis
1,ZenOutreach,https://www.linkedin.com/company/zenoutreach?ref=getlatka.com,,,,//zenoutreach.io/?ref=getlatka.com,Belgium,Laura van den Herrewegen
2,MaidThis,https://www.linkedin.com/company/maidthis-cleaning/?ref=getlatka.com,,,,//maidthis.com/?ref=getlatka.com, (US),Neel Parekh
3,systeme.io,https://www.linkedin.com/company/getsystemeio/?ref=getlatka.com,https://www.facebook.com/get.systeme.io/?ref=getlatka.com,https://twitter.com/SystemeIo?ref=getlatka.com,https://www.crunchbase.com/organization/systeme-io?ref=getlatka.com,//systeme.io/?ref=getlatka.com,Ireland,Lina Fontaine
4,nQ Zebraworks,https://www.linkedin.com/company/126230/admin/?ref=getlatka.com,,,https://www.crunchbase.com/organization/nq-zebraworks?ref=getlatka.com,//nqzw.com/?ref=getlatka.com, (US),Bill Bice
5,"Ardius, LLC",https://www.linkedin.com/company/27105731/admin/?ref=getlatka.com,,,https://www.crunchbase.com/organization/ardius?ref=getlatka.com,//ardius.com/?ref=getlatka.com, (US),Janice Orlando
6,Easygenerator,https://www.linkedin.com/company/easygenerator/?ref=getlatka.com,https://www.facebook.com/easygenerator/?ref=getlatka.com,https://twitter.com/easygenerator/?ref=getlatka.com,https://www.crunchbase.com/organization/easygenerator?ref=getlatka.com,//easygenerator.com/?ref=getlatka.com,Netherlands,Kasper Spiro
7,Folderly,https://www.linkedin.com/company/folderly/?ref=getlatka.com,,,https://www.crunchbase.com/organization/folderly?ref=getlatka.com,//folderly.com/?ref=getlatka.com, (US),Vladislav Podolyako
8,Convert Group,https://www.linkedin.com/company/convert-group/?ref=getlatka.com,,,https://www.crunchbase.com/organization/convert-group?ref=getlatka.com,//convertgroup.com/?ref=getlatka.com,Greece,Panayotis Gezerlis
9,Merge,https://www.linkedin.com/company/merge-api/?ref=getlatka.com,,,https://www.crunchbase.com/organization/merge-69aa?ref=getlatka.com,//merge.dev/?ref=getlatka.com, (US),Travis Patterson
10,Fertility Cloud,https://www.linkedin.com/company/fertility-cloud/?ref=getlatka.com,,,https://www.crunchbase.com/organization/fertility-cloud?ref=getlatka.com,//myfertilitycloud.com/?ref=getlatka.com, (US),Jake Diner
11,RiskScout,https://www.linkedin.com/company/riskscout/?ref=getlatka.com,,,https://www.crunchbase.com/organization/riskscout?ref=getlatka.com,//riskscout.com/?ref=getlatka.com, (US),Justin Fischer
12,Growth Stack Inc,https://www.linkedin.com/company/growthstackinc/?ref=getlatka.com,,,https://www.crunchbase.com/organization/growth-stack-488d?ref=getlatka.com,//growthstackinc.com/?ref=getlatka.com, (US),Kevin Petersen
13,Chorus,https://www.linkedin.com/company/chorus.ai?ref=getlatka.com,https://www.facebook.com/chorusai/?ref=getlatka.com,http://twitter.com/chorus_ai?ref=getlatka.com,https://www.crunchbase.com/organization/chorus-ai?ref=getlatka.com,//chorus.ai/?ref=getlatka.com, (US),JB Rousselot
14,Uptime,https://www.linkedin.com/company/uptime.app/?ref=getlatka.com,,,https://www.crunchbase.com/organization/uptime-app?ref=getlatka.com,//uptime.app/?ref=getlatka.com, (GB),Jack Bekhor
15,CustomerX,https://www.linkedin.com/company/customerxbr?ref=getlatka.com,,,https://www.crunchbase.com/organization/customerx?ref=getlatka.com,//customerx.cx/?ref=getlatka.com,Brazil,Leonardo Superti
16,Logology,https://www.linkedin.com/company/logology?ref=getlatka.com,,,https://www.crunchbase.com/organization/logology?ref=getlatka.com,//logology.co/?ref=getlatka.com,France,Dagobert Renouf
17,Hopscotch,https://www.linkedin.com/company/hopscotchclub?ref=getlatka.com,,https://twitter.com/hopscotch_club?ref=getlatka.com,https://www.crunchbase.com/organization/hopscotch-2?ref=getlatka.com,//hopscotch.club/?ref=getlatka.com, (CA),Rahul Anand
18,HockeyStack,https://www.linkedin.com/company/hockeystack/?ref=getlatka.com,https://www.facebook.com/hockeystack/?ref=getlatka.com,,https://www.crunchbase.com/organization/hockeystack?ref=getlatka.com,//hockeystack.com/?ref=getlatka.com, (US),Emir Atli
19,Claap,https://www.linkedin.com/company/claap-io/?ref=getlatka.com,,,https://www.crunchbase.com/organization/claap?ref=getlatka.com,//claap.io/?ref=getlatka.com,France,Pierre Touzeau
