,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company facebook,Company Twitter
0,Ringostat,https://www.linkedin.com/company/ringostat/?ref=getlatka.com,https://www.crunchbase.com/organization/ringostat?ref=getlatka.com,//ringostat.com/?ref=getlatka.com,Ukraine,Oleksandr Maksymeniuk,,
1,Lbaware,https://www.linkedin.com/company/lbaware?ref=getlatka.com,,//lbaware.com/?ref=getlatka.com, (US),Lori Brewer,,
2,Engagio,https://www.linkedin.com/company/engagio?ref=getlatka.com,https://www.crunchbase.com/organization/engagio-2?ref=getlatka.com,//engagio.com/?ref=getlatka.com, (US),Jonathan Miller,https://www.facebook.com/engagio?ref=getlatka.com,http://twitter.com/engagio?ref=getlatka.com
3,Doorboost,https://www.linkedin.com/company/doorboost?ref=getlatka.com,https://www.crunchbase.com/organization/doorboost?ref=getlatka.com,//doorboost.com/?ref=getlatka.com,Germany,Johannes Herzer,,
4,Coveo,https://www.linkedin.com/company/coveo?ref=getlatka.com,https://www.crunchbase.com/organization/coveo?ref=getlatka.com,//coveo.com/?ref=getlatka.com, (CA),Louis Tetu,,https://twitter.com/coveo?ref=getlatka.com
5,Paystand,https://www.linkedin.com/company/paystand?ref=getlatka.com,https://www.crunchbase.com/organization/paystand?ref=getlatka.com,//paystand.com/?ref=getlatka.com, (US),Jeremy Almond,,
6,Redislabs,https://www.linkedin.com/company/redis-labs-inc?ref=getlatka.com,https://www.crunchbase.com/organization/redis-labs?ref=getlatka.com,//redis.com/?ref=getlatka.com, (US),Ofer Bengal,https://www.facebook.com/Redisinc/?ref=getlatka.com,https://twitter.com/Redisinc?ref=getlatka.com
7,Adjusti,https://www.linkedin.com/company/adjust?ref=getlatka.com,https://www.crunchbase.com/organization/adjusti?ref=getlatka.com,//adjusti.co/?ref=getlatka.com,Belgium,Alon Maltzov,,
8,Paralleldots,https://www.linkedin.com/company/paralleldots?ref=getlatka.com,https://www.crunchbase.com/organization/paralleldots?ref=getlatka.com,//paralleldots.com/?ref=getlatka.com, (CA),Maks Mukundan,,
9,Theomx,https://www.linkedin.com/company/omx?ref=getlatka.com,https://www.crunchbase.com/organization/theomx?ref=getlatka.com,//theomx.com/?ref=getlatka.com, (CA),Nicole Verkindt,,
10,Versium,https://www.linkedin.com/company/versium-inc-?ref=getlatka.com,https://www.crunchbase.com/organization/versium?ref=getlatka.com,//versium.com/?ref=getlatka.com, (US),Haresh Ved,,
11,Switchautomation,https://www.linkedin.com/company/switch-automation?ref=getlatka.com,https://www.crunchbase.com/organization/switchautomation?ref=getlatka.com,//switchautomation.com/?ref=getlatka.com, (US),Deb Noller,,
12,Celect,https://www.linkedin.com/company/celect-inc-?ref=getlatka.com,https://www.crunchbase.com/organization/celect?ref=getlatka.com,//celect.com/?ref=getlatka.com, (US),John Andrews,,
13,CrowdStreet,https://www.linkedin.com/company/crowdstreet-inc-?ref=getlatka.com,https://www.crunchbase.com/organization/crowdstreet?ref=getlatka.com,//crowdstreet.com/?ref=getlatka.com, (US),Julie Wainscott,,
14,Cloudflare,https://www.linkedin.com/company/cloudflare-inc-?ref=getlatka.com,https://www.crunchbase.com/organization/cloudflare?ref=getlatka.com,//cloudflare.com/?ref=getlatka.com, (US),Matthew Prince,,
15,Cariclub,https://www.linkedin.com/company/cariclub?ref=getlatka.com,https://www.crunchbase.com/organization/cariclub?ref=getlatka.com,//cariclub.com/?ref=getlatka.com, (US),Rhoden Monrose,,
16,Relahq,https://www.linkedin.com/company/relahq?ref=getlatka.com,https://www.crunchbase.com/organization/rela?ref=getlatka.com,//relahq.com/?ref=getlatka.com, (US),Mike Land,,
17,Teamforce AI,https://www.linkedin.com/company/teamforceai/?ref=getlatka.com,https://www.crunchbase.com/organization/qlicket?ref=getlatka.com,//teamforce.ai/?ref=getlatka.com, (US),Vivek Kumar,,
18,Helpscout,https://www.linkedin.com/company/help-scout/?ref=getlatka.com,https://www.crunchbase.com/organization/help-scout?ref=getlatka.com,//helpscout.com/?ref=getlatka.com, (US),Jared McDaniel,https://www.facebook.com/helpscout?ref=getlatka.com,https://x.com/helpscout?ref=getlatka.com
19,Outseta,https://www.linkedin.com/company/outseta?ref=getlatka.com,,//outseta.com/?ref=getlatka.com,United States,Geoff Roberts,,
