,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company facebook,Company Twitter
0,Sunroof,https://www.linkedin.com/company/sunroofhq?ref=getlatka.com,https://www.crunchbase.com/organization/sunroof?ref=getlatka.com,//sunroof.us/?ref=getlatka.com, (IE),Travis Tillotson,,
1,Veem,https://www.linkedin.com/company/veem/about/?ref=getlatka.com,https://www.crunchbase.com/organization/goveem?ref=getlatka.com,//veem.com/?ref=getlatka.com, (US),Marwan Forzley,,
2,Rupifi,https://www.linkedin.com/company/rupifi?ref=getlatka.com,https://www.crunchbase.com/organization/rupifi?ref=getlatka.com,//rupifi.com/?ref=getlatka.com, (IN),Anubhav  Jain,https://www.facebook.com/RupifiIndia/?ref=getlatka.com,https://twitter.com/Rupifi_India?ref=getlatka.com
3,Casebook PBC,https://www.linkedin.com/company/casebookpbc?ref=getlatka.com,https://www.crunchbase.com/organization/casebook-pbc?ref=getlatka.com,//casebook.net/?ref=getlatka.com, (US),Tristan Louis,,
4,BEE Content Design,https://www.linkedin.com/company/bee-editor?ref=getlatka.com,https://www.crunchbase.com/organization/bee-083d?ref=getlatka.com,//beefree.io/?ref=getlatka.com, (US),Nazzareno Gorni,,
5,Tweet Binder,https://www.linkedin.com/company/tweet-binder?ref=getlatka.com,https://www.crunchbase.com/organization/tweet-binder?ref=getlatka.com,//tweetbinder.com/?ref=getlatka.com,Spain,Javier Abrego,,
6,The Bot Platform,https://www.linkedin.com/company/the-bot-platform?ref=getlatka.com,https://www.crunchbase.com/organization/the-bot-platform?ref=getlatka.com,//thebotplatform.com/?ref=getlatka.com, (GB),Syd Lawrence,,
7,Akiflow,https://www.linkedin.com/company/akiflow?ref=getlatka.com,https://www.crunchbase.com/organization/akiflow?ref=getlatka.com,//akiflow.com/?ref=getlatka.com, (US),Nunzio Martinello,https://www.facebook.com/AkiflowApp/?ref=getlatka.com,https://twitter.com/getAkiflow?ref=getlatka.com
8,Whelp,https://www.linkedin.com/company/whelp?ref=getlatka.com,https://www.crunchbase.com/organization/whelp?ref=getlatka.com,//getwhelp.com/?ref=getlatka.com,United States,Seymur Rasulov,,
9,Booty Bands & Barbells,https://www.linkedin.com/company/booty-bands-barbells?ref=getlatka.com,https://www.crunchbase.com/organization/booty-bands?ref=getlatka.com,//bootybands.com/?ref=getlatka.com, (US),Jay Crew,,
10,Intervue,https://www.linkedin.com/company/intervue-io?ref=getlatka.com,https://www.crunchbase.com/organization/intervue?ref=getlatka.com,//intervue.io/?ref=getlatka.com, (US),Rahul Arora,,
11,aDolus,https://www.linkedin.com/company/18635290/?ref=getlatka.com,https://www.crunchbase.com/organization/adolus-inc?ref=getlatka.com,//adolus.com/?ref=getlatka.com, (CA),Eric Byres,,
12,Consumer Fusion,https://www.linkedin.com/company/consumerfusion/?ref=getlatka.com,https://www.crunchbase.com/organization/consumer-fusion?ref=getlatka.com,//consumerfusion.com/?ref=getlatka.com, (US),Brynn Gibbs,,
13,CleanCloud,https://www.linkedin.com/company/cleancloud?ref=getlatka.com,,//cleancloud.com.br/?ref=getlatka.com,Brazil,Henrique Vazde Almeida,,
14,QuantHub,https://www.linkedin.com/company/quanthub/?ref=getlatka.com,https://www.crunchbase.com/organization/quanthub?ref=getlatka.com,//quanthub.com/?ref=getlatka.com, (US),Joshua Jones,,
15,TakeTask,https://www.linkedin.com/company/taketask-com/?ref=getlatka.com,https://www.crunchbase.com/organization/taketask?ref=getlatka.com,//taketask.com/?ref=getlatka.com,Poland,Sebastian Starzynski,,
16,ChoreRelief,https://www.linkedin.com/company/chorerelief?ref=getlatka.com,https://www.crunchbase.com/organization/chorerelief?ref=getlatka.com,//allbetterapp.com/?ref=getlatka.com, (US),Tarik Khribech,,
17,Compliable,https://www.linkedin.com/company/compliable?ref=getlatka.com,https://www.crunchbase.com/organization/rebric?ref=getlatka.com,//compliable.com/?ref=getlatka.com, (US),Chris Oltyan,,
18,SPIDR Tech,https://www.linkedin.com/company/spidr-tech?ref=getlatka.com,https://www.crunchbase.com/organization/spidr-2?ref=getlatka.com,//spidrtech.com/?ref=getlatka.com, (US),Rahul Sidhu,,
19,Apiway,https://www.linkedin.com/company/28916172?ref=getlatka.com,https://www.crunchbase.com/organization/apiway?ref=getlatka.com,//apiway.ai/?ref=getlatka.com,Ukraine,Anton Viborniy,,
