,name,Company linkedIn,Company facebook,Company Twitter,Company Crunchbase,website url,company location,company founder
0,Wistia,https://www.linkedin.com/company/wistia/?ref=getlatka.com,https://www.facebook.com/wistia?ref=getlatka.com,https://twitter.com/wistia?ref=getlatka.com,https://www.crunchbase.com/organization/wistia?ref=getlatka.com,//wistia.com/?ref=getlatka.com, (US),Chris Savage
1,TrustMary,https://www.linkedin.com/company/trustmary-group?ref=getlatka.com,,,https://www.crunchbase.com/organization/trustmary?ref=getlatka.com,//trustmary.com/?ref=getlatka.com,Finland,Arttu Haho
2,Censia,https://www.linkedin.com/company/censiaai?ref=getlatka.com,,,https://www.crunchbase.com/organization/censia?ref=getlatka.com,//censia.com/?ref=getlatka.com, (US),Joanna Riley
3,Trust & Will,https://www.linkedin.com/company/trustandwill/?ref=getlatka.com,,,https://www.crunchbase.com/organization/trustandwill?ref=getlatka.com,//trustandwill.com/?ref=getlatka.com, (US),Cody Barbo
4,Usertesting,https://www.linkedin.com/company/usertesting-com/?ref=getlatka.com,https://www.facebook.com/UserTestingcom?ref=getlatka.com,https://twitter.com/usertesting?ref=getlatka.com,https://www.crunchbase.com/organization/usertesting-com?ref=getlatka.com,//usertesting.com/?ref=getlatka.com, (US),Jamie Anderson
5,Boardable,https://www.linkedin.com/company/boardable?ref=getlatka.com,,,https://www.crunchbase.com/organization/boardable?ref=getlatka.com,//boardable.com/?ref=getlatka.com, (US),Jeff  Middlesworth
6,noCRM,https://www.linkedin.com/company/nocrm?ref=getlatka.com,,,https://www.crunchbase.com/organization/nocrm-io?ref=getlatka.com,//nocrm.io/?ref=getlatka.com,France,Sunny Paris
7,Smartlook,https://www.linkedin.com/company/smartlook/?ref=getlatka.com,,,https://www.crunchbase.com/organization/smartlook?ref=getlatka.com,//smartlook.com/?ref=getlatka.com,Czech Republic,Petr Janosik
8,Finch,https://www.linkedin.com/company/finch-?ref=getlatka.com,https://www.facebook.com/finch.ppc?ref=getlatka.com,https://twitter.com/finch_ppc?ref=getlatka.com,https://www.crunchbase.com/organization/finch?ref=getlatka.com,//finch.com/?ref=getlatka.com, (US),Jeremy Zhang
9,Bombora,https://www.linkedin.com/company/bomboradata/?ref=getlatka.com,https://www.facebook.com/bomboradata?ref=getlatka.com,https://twitter.com/bomboradata?ref=getlatka.com,https://www.crunchbase.com/organization/bombora?ref=getlatka.com,//bombora.com/?ref=getlatka.com, (US),Erik Matlick
10,Yotpo,https://www.linkedin.com/company/yotpo?ref=getlatka.com,https://www.facebook.com/yotpo/?ref=getlatka.com,https://twitter.com/Yotpo?ref=getlatka.com,https://www.crunchbase.com/organization/yotpo?ref=getlatka.com,//yotpo.com/?ref=getlatka.com, (US),Tomer Tagrin
11,Loginextsolutions,https://www.linkedin.com/company/loginext-solutions?ref=getlatka.com,https://www.facebook.com/FieldServiceOptimization/?ref=getlatka.com,https://twitter.com/LogiNext/?ref=getlatka.com,https://www.crunchbase.com/organization/loginext-solutions?ref=getlatka.com,//loginextsolutions.com/?ref=getlatka.com, (US),Dhruvil Sanghvi
12,Checkd,https://www.linkedin.com/company/checkd-as/?ref=getlatka.com,,,https://www.crunchbase.com/organization/checkd?ref=getlatka.com,//checkd.it/?ref=getlatka.com,Norway,Tom-Erik Von Krogh-Martinsen
13,Pingboard,https://www.linkedin.com/company/pingboard?ref=getlatka.com,,,https://www.crunchbase.com/organization/pingboard?ref=getlatka.com,//pingboard.com/?ref=getlatka.com, (US),Russell Pollari
14,Flyplugins,https://www.linkedin.com/company/fly-plugins?ref=getlatka.com,,,https://www.crunchbase.com/organization/fly-plugins?ref=getlatka.com,//flyplugins.com/?ref=getlatka.com,United States,Benjamin Arellano
15,Rock Content,https://www.linkedin.com/company/rock-content?ref=getlatka.com,,,https://www.crunchbase.com/organization/rock-content?ref=getlatka.com,//rockcontent.com/?ref=getlatka.com, (US),Diego Gomes
16,LeagueApps,https://www.linkedin.com/company/leagueapps?ref=getlatka.com,,,https://www.crunchbase.com/organization/sportsvite?ref=getlatka.com,//leagueapps.com/?ref=getlatka.com, (US),Brian Litvack
17,Highspot,https://www.linkedin.com/company/highspot?ref=getlatka.com,https://www.facebook.com/highspotinc?ref=getlatka.com,https://twitter.com/highspot?ref=getlatka.com,https://www.crunchbase.com/organization/highspot-2?ref=getlatka.com,//highspot.com/?ref=getlatka.com, (US),Robert Wahbe
18,SellerSEO,https://www.linkedin.com/company/sellerseo/?ref=getlatka.com,,,https://www.crunchbase.com/organization/sellerseo?ref=getlatka.com,//sellerseo.com/?ref=getlatka.com, (US),Andy Arnott
19,Hellorelish,https://www.linkedin.com/company/hellorelish?ref=getlatka.com,,,https://www.crunchbase.com/organization/hellorelish?ref=getlatka.com,//hellorelish.com/?ref=getlatka.com, (US),Lesley Eccles
