,name,Company linkedIn,Company facebook,Company Twitter,Company Crunchbase,website url,company location,company founder
0,Edusign,https://www.linkedin.com/company/edusign/?ref=getlatka.com,https://www.facebook.com/edusignfr?ref=getlatka.com,https://twitter.com/Edusignfr?ref=getlatka.com,https://www.crunchbase.com/organization/edusign?ref=getlatka.com,//edusign.com/?ref=getlatka.com,France,Dylan Teixeira
1,Wavve,https://www.linkedin.com/company/wavve-co?ref=getlatka.com,,,https://www.crunchbase.com/organization/wavve-inc?ref=getlatka.com,//wavve.co/?ref=getlatka.com,United States,Baird Hall
2,Closet Tools,https://www.linkedin.com/company/closetllc?ref=getlatka.com,,,,//closet.tools/?ref=getlatka.com,Egypt,Jordan O'Connor
3,PhoneWagon,https://www.linkedin.com/company/phonewagon?ref=getlatka.com,,,https://www.crunchbase.com/organization/phonewagon?ref=getlatka.com,//phonewagon.com/?ref=getlatka.com, (US),Ryan Shank
4,Djaodjin,https://www.linkedin.com/company/djaodjin?ref=getlatka.com,,,,//djaodjin.com/?ref=getlatka.com, (US),Sebastien Mirolo
5,Widgetic,https://www.linkedin.com/company/widgetic?ref=getlatka.com,,,https://www.crunchbase.com/organization/widgetic?ref=getlatka.com,//widgetic.com/?ref=getlatka.com,Spain,Andu Potorac
6,Shuvel,https://www.linkedin.com/company/shuvel?ref=getlatka.com,,,,//param-solutions.com/?ref=getlatka.com, (AU),Anil Kasibhatla
7,Buttondown,https://www.linkedin.com/company/buttondown/?ref=getlatka.com,,,https://www.crunchbase.com/organization/button?ref=getlatka.com,//buttondown.email/?ref=getlatka.com, (US),Justin Duke
8,Pushpress,https://www.linkedin.com/company/pushpress/?ref=getlatka.com,,,https://www.crunchbase.com/organization/pushpress?ref=getlatka.com,//pushpress.com/?ref=getlatka.com, (US),Dan Uyemura
9,Directual,https://www.linkedin.com/company/directual?ref=getlatka.com,,,https://www.crunchbase.com/organization/directual?ref=getlatka.com,//directual.com/?ref=getlatka.com,Russia,Pavel Ershov
10,Monetizemore,https://www.linkedin.com/company/monetizemore?ref=getlatka.com,,,https://www.crunchbase.com/organization/monetizemore?ref=getlatka.com,//monetizemore.com/?ref=getlatka.com, (CA),Kean Graham
11,Revenuecat,https://www.linkedin.com/company/revenuecat?ref=getlatka.com,https://www.facebook.com/RevenueCat/?ref=getlatka.com,https://twitter.com/revenuecat?ref=getlatka.com,https://www.crunchbase.com/organization/revenuecat?ref=getlatka.com,//revenuecat.com/?ref=getlatka.com, (US),Jacob  Eiting
12,Hireclub,https://www.linkedin.com/company/the_real_hireclub?ref=getlatka.com,,,https://www.crunchbase.com/organization/hireclub?ref=getlatka.com,//hireclub.com/?ref=getlatka.com, (US),Ketan Anjaria
13,Getvero,https://ca.linkedin.com/company/upearance-marketing-solutions?ref=getlatka.com,,,https://www.crunchbase.com/organization/getvero?ref=getlatka.com,//getvero.com/?ref=getlatka.com,Canada,Chris Hexton
14,Referralrock,https://www.linkedin.com/company/referral-rock/?ref=getlatka.com,,,https://www.crunchbase.com/organization/referralrock?ref=getlatka.com,//referralrock.com/?ref=getlatka.com, (US),Josh Ho
15,Webhookrelay,https://www.linkedin.com/company/webhook-relay?ref=getlatka.com,,,,//webhookrelay.com/?ref=getlatka.com, (GB),Karolis Rusenas
16,Huckabuy,https://www.linkedin.com/company/huckabuy?ref=getlatka.com,,,https://www.crunchbase.com/organization/huckabuy?ref=getlatka.com,//huckabuy.com/?ref=getlatka.com, (US),Geoff Atkinson
17,Niche,https://www.linkedin.com/company/nichesocial?ref=getlatka.com,,,https://www.crunchbase.com/organization/niche?ref=getlatka.com,//niche.com/?ref=getlatka.com, (US),Luke Skurman
18,GeoSpiza,https://www.linkedin.com/company/geospiza-us/?ref=getlatka.com,,,https://www.crunchbase.com/organization/geospiza?ref=getlatka.com,//geospiza.us/?ref=getlatka.com, (US),Sarah Tuneberg
19,PaperlessPipeline,https://www.linkedin.com/company/paperless-pipeline/?ref=getlatka.com,https://www.facebook.com/paperlesspipeline?ref=getlatka.com,https://twitter.com/PPipeline?ref=getlatka.com,https://www.crunchbase.com/organization/paperless-pipeline?ref=getlatka.com,//paperlesspipeline.com/?ref=getlatka.com, (US),Dane Maxwell
